"ACCOR";"E&Y";"4,3";"4";"4";"0,1";"0,2";"0,1";"Deloitte";"5,8";"5,2";"5,8";"0,1";"0,1";"0,2";"10,1";"0,2";"10,3";"1,94%";"9,78%";"33,33%";"8,42%";"9,2";"0,3";"9,5";"6,12%";"0,00%"
"AIRLIQUIDE";"E&Y";"6,611";"6,017";"5,907";"1,496";"0,84";"1,467";"Mazars";"4,855";"4,557";"3,872";"0,076";"0,044";"0,135";"11,466";"1,572";"13,038";"12,06%";"8,44%";"77,83%";"13,79%";"10,574";"0,884";"11,458";"8,13%";"44,82%"
"ALCATEL";"N/A";"N/A";"9,466";"8,619";"N/A";"0,391";"0,347";"N/A";"N/A";"10,568";"9,478";"N/A";"0,28";"0,365";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"20,034";"0,671";"20,705";"10,70%";"5,76%"
"ALSTOM";"PWC";"14,2";"12,7";"9,6";"0,3";"0,3";"1,4";"Mazars";"7,4";"7,5";"5,3";"0,1";"0,1";"0";"21,6";"0,4";"22";"1,82%";"6,93%";"0,00%";"6,80%";"20,2";"0,4";"20,6";"35,57%";"71,43%"
"ARCELORMITTAL*";"Deloitte";"24,79";"23,05";"24,04";"0,98";"0,9";"0,2";"24,79";"0,98";"25,77";"3,80%";"7,55%";"8,89%";"7,60%";"23,05";"0,9";"23,95";"4,12%";"350,00%"
"AXA";"PWC";"38,649";"36,659";"35,63";"4,581";"5,406";"9,596";"Mazars";"10,541";"10,163";"8,46";"0,042";"0,161";"1,389";"49,19";"4,623";"53,813";"8,59%";"5,06%";"16,96%";"2,72%";"46,822";"5,567";"52,389";"6,20%";"49,32%"
"BNPPARIBAS";"Deloitte";"13,516";"15,297";"17,285";"2,615";"4,067";"6,469";"PWC";"16,234";"16,931";"18,882";"1,26";"1,187";"1,115";"Mazars";"9,252";"10,61";"10,233";"0,077";"0,049";"0,099";"39,002";"3,952";"42,954";"9,20%";"8,95%";"25,48%";"10,77%";"42,838";"5,303";"48,141";"7,68%";"30,98%"
"BOUYGUES";"Mazars";"6,884";"6,345";"6,489";"0,098";"0,117";"0,124";"E&Y";"5,061";"4,647";"4,513";"0";"0";"0";"11,945";"0,098";"12,043";"0,81%";"8,67%";"16,24%";"8,41%";"10,992";"0,117";"11,109";"0,09%";"5,65%"
"CAPGEMINI";"KPMG";"2,98";"2,325";"2,973";"1,186";"0,737";"0,782";"PWC";"3,466";"3,846";"3,031";"1,489";"1,67";"1,821";"6,446";"2,675";"9,121";"29,33%";"4,46%";"11,13%";"6,33%";"6,171";"2,407";"8,578";"2,78%";"7,53%"
"CARREFOUR";"Deloitte";"2,667";"2,949";"4,982";"0,305";"0,061";"0,522";"KPMG";"9,764";"10,053";"12,117";"0,189";"0,14";"0,121";"Mazars";"2,912";"2,392";"0,003";"0";"15,343";"0,497";"15,84";"3,14%";"0,33%";"147,26%";"1,57%";"15,394";"0,201";"15,595";"9,97%";"68,74%"
"CREDITAGRICOLE";"E&Y";"19,097";"19,971";"22,127";"1,965";"1,396";"1,031";"PWC";"19,737";"20,146";"18,884";"2,18";"2,049";"1,574";"38,834";"4,145";"42,979";"9,64%";"3,20%";"20,32%";"1,34%";"40,117";"3,445";"43,562";"2,18%";"32,25%"
"DANONE";"PWC";"6,7";"5,1";"6,4";"0,4";"0,9";"0,6";"E&Y";"4,8";"3,4";"2,9";"0,2";"0,1";"0,1";"11,5";"0,6";"12,1";"4,96%";"35,29%";"40,00%";"27,37%";"8,5";"1";"9,5";"8,60%";"42,86%"
"EADS*";"KPMG";"9,505";"7,353";"6,226";"1,003";"0,758";"0,812";"E&Y";"8,994";"8,189";"6,1";"0,519";"0,271";"0,244";"18,499";"1,522";"20,021";"7,60%";"19,03%";"47,91%";"20,82%";"15,542";"1,029";"16,571";"26,09%";"2,56%"
"EDF";"Deloitte";"11,194";"8,694";"10,063";"3,031";"1,892";"1,072";"KPMG";"10,682";"9,465";"8,798";"1,334";"0,587";"0,008";"21,876";"4,365";"26,241";"16,63%";"20,47%";"76,08%";"27,15%";"18,159";"2,479";"20,638";"3,72%";"129,54%"
"ESSILOR";"PWC";"3,199";"2,591";"2,982";"0,075";"0,061";"0,163";"Mazars";"2,633";"3,144";"2,316";"0,041";"0,032";"0";"5,832";"0,116";"5,948";"1,95%";"1,69%";"24,73%";"2,06%";"5,735";"0,093";"5,828";"8,25%";"42,94%"
"FRANCETELECOM";"Deloitte";"15";"15";"14,8";"0,1";"0";"0,1";"E&Y";"17,6";"16,7";"17,8";"0";"0,1";"0,1";"32,6";"0,1";"32,7";"0,31%";"2,84%";"0,00%";"2,83%";"31,7";"0,1";"31,8";"2,76%";"50,00%"
"GDFSUEZ";"E&Y";"18,1";"18,6";"19,8";"1,3";"1";"0,7";"Deloitte";"18,2";"17,1";"20,2";"1,1";"2,4";"0,7";"Mazars";"8,1";"7,3";"7,8";"0,1";"0,2";"0";"44,4";"2,5";"46,9";"5,33%";"3,26%";"30,56%";"0,64%";"43";"3,6";"46,6";"10,04%";"157,14%"
"GEMALTO*";"PWC";"3,134";"N/A";"N/A";"0,022";"N/A";"N/A";"3,134";"0,022";"3,156";"0,70%";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"LAFARGE";"Deloitte";"7,4";"11,4";"8,7";"0,1";"0,3";"0,1";"E&Y";"6,7";"6,8";"7,1";"0,2";"0,3";"0,2";"14,1";"0,3";"14,4";"2,08%";"22,53%";"50,00%";"23,40%";"18,2";"0,6";"18,8";"15,19%";"100,00%"
"LEGRAND";"PWC";"1,689";"2,24";"N/A";"0,38";"0,527";"N/A";"Deloitte";"2,381";"2,158";"N/A";"0,059";"0,095";"N/A";"4,07";"0,439";"4,509";"9,74%";"7,46%";"29,42%";"10,18%";"4,398";"0,622";"5,02";"N/A";"N/A"
"L'OREAL";"PWC";"8,5";"7,1";"7,9";"0,5";"0,5";"0,5";"Deloitte";"7,7";"7";"6,1";"0,4";"0,6";"0,3";"16,2";"0,9";"17,1";"5,26%";"14,89%";"18,18%";"12,50%";"14,1";"1,1";"15,2";"0,71%";"37,50%"
"LVMH";"E&Y";"10,906";"9,954";"8,255";"3,613";"3,488";"3,006";"Deloitte";"5,551";"5,04";"4,695";"0,475";"1,176";"0,474";"16,457";"4,088";"20,545";"19,90%";"9,76%";"12,35%";"4,51%";"14,994";"4,664";"19,658";"15,78%";"34,02%"
"MICHELIN";"PWC";"3,981";"3,694";"3,217";"0,339";"0,28";"0,429";"Deloitte";"2,815";"2,559";"2,559";"0,279";"0,264";"0,18";"6,796";"0,618";"7,414";"8,34%";"8,68%";"13,60%";"9,08%";"6,253";"0,544";"6,797";"8,26%";"10,67%"
"NATIXIS";"N/A";"N/A";"N/A";"9,35";"N/A";"N/A";"0,338";"N/A";"N/A";"N/A";"4,337";"N/A";"N/A";"0,782";"N/A";"N/A";"N/A";"3,484";"N/A";"N/A";"0,227";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"PERNODRICARD";"Mazars";"3,581";"3,522";"3,709";"0,16";"0,095";"0,052";"Deloitte";"4,039";"3,978";"3,704";"0,111";"0,059";"0,082";"7,62";"0,271";"7,891";"3,43%";"1,60%";"75,97%";"3,10%";"7,5";"0,154";"7,654";"1,17%";"63,43%"
