"ALTEN";"Dauge";"&";"Ass.";"0,333";"0,286";"0";"0";"Grant";"Thornton";"0,588";"0,463";"0";"0";"36%";"64%";"0,921";"0";"0,921";"22,96%";"N/A";"22,96%";"0,749";"0";"0,749"
"ALTRAN";"TECHN.";"Mazars";"1,105";"0,923";"0";"0";"Deloitte";"1,083";"1,09";"0";"0";"51%";"49%";"2,188";"0";"2,188";"8,69%";"N/A";"8,69%";"2,013";"0";"2,013"
"ARTOIS";"IND.";"&";"FIN.";"Deloitte";"0,121";"0,139";"0";"0";"AEG_Finances";"0,061";"0,072";"0";"0";"66%";"34%";"0,182";"0";"0,182";"-13,74%";"N/A";"-13,74%";"0,211";"0";"0,211"
"BENETEAU";"Atlantique_Revision_Conseil";"0,203";"0,213";"0";"0";"KPMG";"0,319";"0,187";"0";"0";"39%";"61%";"0,522";"0";"0,522";"30,50%";"N/A";"30,50%";"0,4";"0";"0,4"
"BOIRON";"E&Y";"0,283";"0,295";"0,006";"0,006";"Mazars";"0,303";"0,312";"0,018";"0,013";"48%";"52%";"0,586";"0,024";"0,61";"-3,46%";"26,32%";"-2,56%";"0,607";"0,019";"0,626"
"BONGRAIN";"KPMG";"1,797";"1,882";"0,022";"0,028";"PWC";"1,803";"1,463";"0,072";"0,07";"50%";"50%";"3,6";"0,094";"3,694";"7,62%";"-4,08%";"7,29%";"3,345";"0,098";"3,443"
"BURELLE";"Mazars";"2,102";"1,856";"0";"0";"Cailliau";"Dedouit";"0,168";"0,168";"0";"0";"93%";"7%";"2,27";"0";"2,27";"12,15%";"N/A";"12,15%";"2,024";"0";"2,024"
"CANAL";"PLUS";"KPMG";"0,1";"0,1";"0";"0";"E&Y";"0,1";"0,1";"0";"0";"50%";"50%";"0,2";"0";"0,2";"0,00%";"N/A";"0,00%";"0,2";"0";"0,2"
"FAIVELEY";"TRANSPORT";"ECA";"0,272";"0,265";"0";"0";"PWC";"0,904";"0,753";"0,045";"0";"23%";"77%";"1,176";"0,045";"1,221";"15,52%";"N/A";"19,94%";"1,018";"0";"1,018"
"FFP";"Mazars";"0,064";"0,061";"0";"0";"SEC3";"0,064";"0,061";"0";"0";"50%";"50%";"0,128";"0";"0,128";"4,92%";"N/A";"4,92%";"0,122";"0";"0,122"
"FIMALAC";"PWC";"0,456";"2,844";"0";"0";"Cagnat";"&";"Ass.";"0,225";"0,241";"0";"0";"67%";"33%";"0,681";"0";"0,681";"-77,93%";"N/A";"-77,93%";"3,085";"0";"3,085"
"INTERPARFUMS";"Mazars";"0,399";"0,437";"0";"0";"SFECO";"&";"Fiducia";"0,095";"0,1";"0";"0";"81%";"19%";"0,494";"0";"0,494";"-8,01%";"N/A";"-8,01%";"0,537";"0";"0,537"
"LDC";"KPMG";"0,278";"0,308";"0";"0";"E&Y";"0,102";"0,116";"0";"0";"73%";"27%";"0,38";"0";"0,38";"-10,38%";"N/A";"-10,38%";"0,424";"0";"0,424"
"LISI";"E&Y";"0,825";"0,852";"0";"0";"Exco";"Cap";"Audit";"0,251";"0,296";"0";"0";"77%";"23%";"1,076";"0";"1,076";"-6,27%";"N/A";"-6,27%";"1,148";"0";"1,148"
"MONCEY";"FIN.";"Deloitte";"0,011";"0,036";"0";"0";"AEG";"Finances";"0,027";"0,005";"0";"0";"29%";"71%";"0,038";"0";"0,038";"-7,32%";"N/A";"-7,32%";"0,041";"0";"0,041"
"NORBERT";"DENTRESSANGLE";"E&Y";"1,226";"1,236";"0";"0";"Grant";"Thornton";"0,882";"0,685";"0";"0";"58%";"42%";"2,108";"0";"2,108";"9,73%";"N/A";"9,73%";"1,921";"0";"1,921"
"SOPRA";"GROUP";"Mazars";"0,982";"0,559";"0,033";"0,032";"Associs";"0,423";"0,334";"0,061";"0,058";"70%";"30%";"1,405";"0,094";"1,499";"57,33%";"4,44%";"52,49%";"0,893";"0,09";"0,983"
"TECHNICOLOR";"Deloitte";"2,333";"2,122";"0,076";"0,106";"Mazars";"2,239";"1,903";"0,005";"0";"51%";"49%";"4,572";"0,081";"4,653";"13,59%";"-23,58%";"12,64%";"4,025";"0,106";"4,131"
"UBISOFT";"MB";"Audit";"0,132";"0,121";"0";"0";"KPMG";"0,634";"0,615";"0";"0";"17%";"83%";"0,766";"0";"0,766";"4,08%";"N/A";"4,08%";"0,736";"0";"0,736"
"UNIBEL";"Deloitte";"0,757";"0,686";"0,028";"0,039";"Grant";"Thornton";"0,71";"0,087";"0,019";"0";"52%";"48%";"1,467";"0,047";"1,514";"89,78%";"20,51%";"86,45%";"0,773";"0,039";"0,812"
"AUFEMININ.COM";"E&Y";"0,058";"0,074";"0";"0";"Deloitte";"0,053";"0,03";"0";"0";"52%";"48%";"0,111";"0";"0,111";"6,73%";"N/A";"6,73%";"0,104";"0";"0,104"
"BACCARAT";"KPMG";"0,277";"0,274";"0";"0";"Mazars";"0,067";"0,08";"0";"0";"81%";"19%";"0,344";"0";"0,344";"-2,82%";"N/A";"-2,82%";"0,354";"0";"0,354"
"CEGID";"GROUP";"Grant";"Thornton";"0,172";"0,172";"0,008";"0";"Mazars";"0,191";"0,19";"0,003";"0,002";"47%";"53%";"0,363";"0,011";"0,374";"0,28%";"450,00%";"2,75%";"0,362";"0,002";"0,364"
"DBV";"TECHNOLOGIES";"Deloitte";"0,192";"0,167";"0";"0";"CHD";"Audit";"0,03";"0,034";"0";"0";"86%";"14%";"0,222";"0";"0,222";"10,45%";"N/A";"10,45%";"0,201";"0";"0,201"
"GFI";"INFORMATIQUE";"Grant";"Thornton";"0,353";"0,331";"0";"0";"E&Y";"0,935";"0,72";"0,015";"0,019";"27%";"73%";"1,288";"0,015";"1,303";"22,55%";"-21,05%";"21,78%";"1,051";"0,019";"1,07"
"GROUPE";"CRIT";"PWC";"0,402";"0,372";"0,027";"0,021";"ACE";"Audit";"0,197";"0,188";"0";"0";"67%";"33%";"0,599";"0,027";"0,626";"6,96%";"28,57%";"7,75%";"0,56";"0,021";"0,581"
"GROUPE";"GORGE";"Mazars";"0,349";"0,32";"0";"0";"Corevise";"0,227";"0,177";"0";"0";"61%";"39%";"0,576";"0";"0,576";"15,90%";"N/A";"15,90%";"0,497";"0";"0,497"
"ID";"LOGISTICS";"Deloitte";"0,544";"0,368";"0,151";"0,026";"Joubert";"Philippe";"0,163";"0,125";"0";"0";"77%";"23%";"0,707";"0,151";"0,858";"43,41%";"480,77%";"65,32%";"0,493";"0,026";"0,519"
"INNATE";"PHARMA";"ACE";"(PKF";"Int.)";"0,066";"0,059";"0";"0";"PWC";"0,068";"0,062";"0";"0";"49%";"51%";"0,134";"0";"0,134";"10,74%";"N/A";"10,74%";"0,121";"0";"0,121"
"LECTRA";"PWC";"0,434";"0,446";"0,115";"0,08";"KPMG";"0,248";"0,241";"0,045";"0,023";"64%";"36%";"0,682";"0,16";"0,842";"-0,73%";"55,34%";"6,58%";"0,687";"0,103";"0,79"
"LINEDATA";"SERVICES";"E&Y";"0,347";"0,342";"0";"0";"Finexsi";"Audit";"0,124";"0,123";"0";"0";"74%";"26%";"0,471";"0";"0,471";"1,29%";"N/A";"1,29%";"0,465";"0";"0,465"
"LOCINDUS";"KPMG";"0,158";"0,153";"0";"0";"PWC";"0,128";"0,125";"0";"0";"55%";"45%";"0,286";"0";"0,286";"2,88%";"N/A";"2,88%";"0,278";"0";"0,278"
"MGI";"COUTIER";"Mazars";"0,251";"0,252";"0,024";"0,023";"Orfis";"Baker";"Tilly";"0,22";"0,225";"0,004";"0,005";"53%";"47%";"0,471";"0,028";"0,499";"-1,26%";"0,00%";"-1,19%";"0,477";"0,028";"0,505"
"MONTUPET";"BMA";"0,143";"0,178";"0";"0";"Actheos";"0,067";"0,073";"0";"0";"68%";"32%";"0,21";"0";"0,21";"-16,33%";"N/A";"-16,33%";"0,251";"0";"0,251"
"OENEO";"Deloitte";"0,169";"0,205";"0";"0";"Grant";"Thornton";"0,153";"0,14";"0";"0";"52%";"48%";"0,322";"0";"0,322";"-6,67%";"N/A";"-6,67%";"0,345";"0";"0,345"
"PATRIMOINE";"&";"COMMERCE";"Grant";"Thornton";"0,114";"0,174";"0";"0";"A4";"Partners";"0,068";"0,081";"0";"0";"63%";"37%";"0,182";"0";"0,182";"-28,63%";"N/A";"-28,63%";"0,255";"0";"0,255"
"PIERRE";"&";"VACANCES";"E&Y";"1,579";"1,478";"0,657";"0,543";"AACE";"IdF";"0,43";"0,376";"0";"0";"79%";"21%";"2,009";"0,657";"2,666";"8,36%";"20,99%";"11,22%";"1,854";"0,543";"2,397"
"SALVEPAR";"E&Y";"0,028";"0,02";"0";"0";"Expertise";"&";"Audit";"0,024";"0,018";"0";"0";"54%";"46%";"0,052";"0";"0,052";"36,84%";"N/A";"36,84%";"0,038";"0";"0,038"
"SMTPC";"KPMG";"0,06";"0,061";"0";"0";"N/A";"N/A";"N/A";"0,06";"0";"0,06";"-1,64%";"N/A";"-1,64%";"0,061";"0";"0,061"
"STORE";"ELECTRONICS";"Mazars";"0,083";"0,067";"0";"0";"E&Y";"0,07";"0,061";"0";"0";"54%";"46%";"0,153";"0";"0,153";"19,53%";"N/A";"19,53%";"0,128";"0";"0,128"
