Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1143.0;1370.0;1878.0;1928.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1143.0;1370.0;1878.0;1928.0;None;
Accounts Receivable;374.0;364.0;402.0;390.0;None;
Notes Receivable;20.0;26.0;34.0;32.0;None;
Other Receivables;548.0;560.0;445.0;392.0;None;
TOTAL RECEIVABLES;942.0;950.0;881.0;814.0;None;
Inventory;41.0;41.0;47.0;42.0;None;
Prepaid Expenses;184.0;215.0;119.0;127.0;None;
Other Current Assets;--;386.0;156.0;61.0;None;
TOTAL CURRENT ASSETS;2310.0;2962.0;3081.0;2972.0;None;
Gross Property Plant and Equipment;6280.0;5818.0;4923.0;4821.0;None;
Accumulated Depreciation;-2598.0;-2561.0;-2331.0;-2373.0;None;
NET PROPERTY PLANT AND EQUIPMENT;3682.0;3257.0;2592.0;2448.0;None;
Goodwill;743.0;712.0;840.0;707.0;None;
Long-Term Investments;312.0;305.0;393.0;328.0;None;
Loans Receivable Long Term;136.0;138.0;147.0;98.0;None;
Deferred Tax Assets Long Term;241.0;147.0;151.0;148.0;None;
Other Intangibles;409.0;373.0;264.0;283.0;None;
Other Long-Term Assets;845.0;106.0;92.0;76.0;None;
TOTAL ASSETS;8678.0;8000.0;7560.0;7060.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;634.0;642.0;580.0;611.0;None;
Accrued Expenses;541.0;548.0;467.0;463.0;None;
Short-Term Borrowings;22.0;3.0;8.0;18.0;None;
Current Portion of Long-Term Debt/Capital Lease;179.0;121.0;821.0;496.0;None;
Current Portion of Capital Lease Obligations;7.0;13.0;2.0;1.0;None;
Current Income Taxes Payable;302.0;120.0;192.0;78.0;None;
Other Current Liabilities Total;913.0;837.0;628.0;625.0;None;
Unearned Revenue Current;123.0;111.0;76.0;68.0;None;
TOTAL CURRENT LIABILITIES;2714.0;2382.0;2772.0;2359.0;None;
Long-Term Debt;1690.0;1524.0;1496.0;1670.0;None;
Capital Leases;93.0;69.0;56.0;48.0;None;
Minority Interest;299.0;231.0;230.0;217.0;None;
Pension & Other Post-Retirement Benefits;79.0;74.0;94.0;85.0;None;
Deferred Tax Liability Non-Current;123.0;156.0;119.0;118.0;None;
Other Non-Current Liabilities;30.0;27.0;28.0;24.0;None;
TOTAL LIABILITIES;4729.0;4232.0;4565.0;4304.0;None;
Common Stock;680.0;682.0;682.0;684.0;None;
Additional Paid in Capital;1311.0;1318.0;1318.0;1129.0;None;
Retained Earnings;1560.0;1447.0;591.0;739.0;None;
Comprehensive Income and Other;99.0;90.0;174.0;-13.0;None;
TOTAL COMMON EQUITY;3650.0;3537.0;2765.0;2539.0;None;
TOTAL EQUITY;3949.0;3768.0;2995.0;2756.0;None;
TOTAL LIABILITIES AND EQUITY;8678.0;8000.0;7560.0;7060.0;None;
