Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;5948.0;5568.0;5649.0;5536.0;None;
TOTAL REVENUES;5948.0;5568.0;5649.0;5536.0;None;
Cost of Goods Sold;5068.0;4712.0;4799.0;4671.0;None;
GROSS PROFIT;880.0;856.0;850.0;865.0;None;
Depreciation & Amortization Total;434.0;341.0;324.0;329.0;None;
OTHER OPERATING EXPENSES TOTAL;434.0;341.0;324.0;329.0;None;
OPERATING INCOME;446.0;515.0;526.0;536.0;None;
Interest Expense;-141.0;-99.0;-85.0;-85.0;None;
Interest and Investment Income;2.0;2.0;5.0;7.0;None;
NET INTEREST EXPENSE;-139.0;-97.0;-80.0;-78.0;None;
Income (Loss) on Equity Investments;22.0;5.0;17.0;2.0;None;
Currency Exchange Gains (Loss);5.0;3.0;-1.0;-7.0;None;
Other Non-Operating Income (Expenses);--;2.0;5.0;-7.0;None;
EBT EXCLUDING UNUSUAL ITEMS;334.0;428.0;467.0;446.0;None;
Merger & Restructuring Charges;-31.0;-38.0;-40.0;-133.0;None;
Gain (Loss) on Sale of Assets;-31.0;111.0;-70.0;35.0;None;
Other Unusual Items Total;-284.0;-64.0;-119.0;-89.0;None;
EBT INCLUDING UNUSUAL ITEMS;-12.0;437.0;238.0;259.0;None;
Income Tax Expense;392.0;166.0;143.0;121.0;None;
Minority Interest in Earnings;-7.0;-23.0;-15.0;-13.0;None;
Earnings from Continuing Operations;-404.0;271.0;95.0;138.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;4011.0;-221.0;-679.0;1.0;None;
NET INCOME;3600.0;27.0;-599.0;126.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;3600.0;27.0;-599.0;126.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-411.0;248.0;80.0;125.0;None;
