Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1515.0;1356.0;1306.0;1387.0;None;
Trading Asset Securities;361780.0;467329.0;303824.0;237165.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;489759.0;580177.0;700277.0;626390.0;None;
Other Receivables;357835.0;119677.0;48918.0;39135.0;None;
TOTAL RECEIVABLES;357835.0;119677.0;48918.0;39135.0;None;
Prepaid Expenses;515.0;482.0;1440.0;1517.0;None;
Restricted Cash;27810.0;27111.0;41408.0;66797.0;None;
Other Current Assets;13255.0;5132.0;27738.0;32065.0;None;
TOTAL CURRENT ASSETS;895248.0;734901.0;819910.0;766214.0;None;
Gross Property Plant and Equipment;9342.0;9592.0;8554.0;8455.0;None;
Accumulated Depreciation;-4140.0;-4422.0;-4037.0;-3990.0;None;
NET PROPERTY PLANT AND EQUIPMENT;5202.0;5170.0;4517.0;4465.0;None;
Goodwill;18960.0;17528.0;13983.0;13734.0;None;
Deferred Tax Assets Long Term;5220.0;5095.0;3976.0;2776.0;None;
Other Intangibles;1743.0;1868.0;1700.0;1604.0;None;
Other Long-Term Assets;17132.0;34918.0;9638.0;10924.0;None;
TOTAL ASSETS;1593529.0;1723608.0;1617429.0;1536873.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;31643.0;33056.0;--;--;None;
Accrued Expenses;7455.0;4814.0;5254.0;4626.0;None;
Short-Term Borrowings;259809.0;385936.0;251267.0;187721.0;None;
Current Portion of Long-Term Debt/Capital Lease;115446.0;75870.0;72200.0;69860.0;None;
Current Income Taxes Payable;1233.0;2998.0;3967.0;821.0;None;
Other Current Liabilities Total;120212.0;98033.0;178776.0;178245.0;None;
TOTAL CURRENT LIABILITIES;1083469.0;1189168.0;1110274.0;1036087.0;None;
Long-Term Debt;197738.0;213742.0;153027.0;151332.0;None;
Minority Interest;6482.0;6495.0;5505.0;5595.0;None;
Unearned Revenue Non-Current;2146.0;2226.0;2177.0;1641.0;None;
Pension & Other Post-Retirement Benefits;1775.0;1861.0;1721.0;1596.0;None;
Deferred Tax Liability Non-Current;1220.0;1757.0;1578.0;1305.0;None;
Other Non-Current Liabilities;255032.0;265562.0;302973.0;297023.0;None;
TOTAL LIABILITIES;1541380.0;1674316.0;1571750.0;1488984.0;None;
Common Stock;7205.0;7494.0;7494.0;7505.0;None;
Additional Paid in Capital;22414.0;23036.0;23414.0;23435.0;None;
Retained Earnings;1263.0;-1470.0;-6389.0;2505.0;None;
Treasury Stock;-517.0;-366.0;-370.0;-160.0;None;
Comprehensive Income and Other;15302.0;14103.0;16025.0;9009.0;None;
TOTAL COMMON EQUITY;45667.0;42797.0;40174.0;42294.0;None;
TOTAL EQUITY;52149.0;49292.0;45679.0;47889.0;None;
TOTAL LIABILITIES AND EQUITY;1593529.0;1723608.0;1617429.0;1536873.0;None;
