Millions of Euros;2010;2011;2012;2013;Trend;
TOTAL REVENUES;16175.0;15135.0;12428.0;13170.0;None;
GROSS PROFIT;16175.0;15135.0;12428.0;13170.0;None;
Selling General & Admin Expenses Total;758.2;804.0;773.0;742.0;None;
EBT EXCLUDING UNUSUAL ITEMS;3055.0;1752.0;1317.0;2965.0;None;
Impairment of Goodwill;-445.0;-1934.0;-3027.0;--;None;
Other Unusual Items Total;-2.0;-4.0;-10.0;2.0;None;
EBT INCLUDING UNUSUAL ITEMS;2608.0;-186.0;-1720.0;2967.0;None;
Income Tax Expense;877.0;1026.0;391.0;140.0;None;
Minority Interest in Earnings;-489.0;-272.0;42.0;-376.0;None;
Earnings from Continuing Operations;1731.0;-1212.0;-2111.0;2827.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;21.0;14.0;-4320.0;54.0;None;
NET INCOME;1263.0;-1470.0;-6389.0;2505.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1263.0;-1470.0;-6389.0;2505.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1242.0;-1484.0;-2069.0;2451.0;None;
