Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;802.8;1133.7;797.1;1055.6;None;
Short-Term Investments;0.5;0.2;2.4;2.6;None;
Trading Asset Securities;42.4;31.8;65.7;45.2;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;845.6;1165.6;865.2;1103.4;None;
Accounts Receivable;648.4;614.8;516.4;559.0;None;
Notes Receivable;1.7;1.7;--;--;None;
Other Receivables;92.4;124.8;124.9;110.0;None;
TOTAL RECEIVABLES;742.5;741.3;641.3;669.0;None;
Inventory;13.2;14.6;15.8;16.8;None;
Prepaid Expenses;24.6;20.6;23.0;25.7;None;
Other Current Assets;14.1;38.5;8.8;9.8;None;
TOTAL CURRENT ASSETS;1640.1;1980.7;1554.1;1824.7;None;
Gross Property Plant and Equipment;9071.5;9652.5;10292.1;10605.9;None;
Accumulated Depreciation;-3546.7;-3873.0;-4264.5;-4619.3;None;
NET PROPERTY PLANT AND EQUIPMENT;5524.7;5779.5;6027.5;5986.6;None;
Goodwill;37.8;9.0;25.3;25.3;None;
Long-Term Investments;429.4;443.0;1162.5;1171.5;None;
Accounts Receivable Long Term;29.0;27.6;26.1;24.6;None;
Loans Receivable Long Term;7.5;7.8;--;--;None;
Deferred Tax Assets Long Term;4.9;1.1;2.3;1.0;None;
Deferred Charges Long Term;1.7;--;--;--;None;
Other Intangibles;52.1;62.6;69.2;63.1;None;
Other Long-Term Assets;524.3;543.1;515.9;541.8;None;
TOTAL ASSETS;8251.7;8854.2;9382.9;9638.7;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;208.5;239.2;234.4;209.9;None;
Accrued Expenses;247.1;229.5;277.8;274.8;None;
Short-Term Borrowings;7.3;88.3;13.9;15.9;None;
Current Portion of Long-Term Debt/Capital Lease;391.0;442.2;470.2;527.5;None;
Current Portion of Capital Lease Obligations;0.2;--;--;--;None;
Current Income Taxes Payable;13.9;31.1;0.5;23.2;None;
Other Current Liabilities Total;464.1;460.5;326.5;238.9;None;
Unearned Revenue Current;170.2;152.9;167.3;160.2;None;
TOTAL CURRENT LIABILITIES;1502.0;1643.7;1490.7;1450.4;None;
Long-Term Debt;2765.6;3018.2;3483.0;3649.2;None;
Capital Leases;0.6;--;--;--;None;
Minority Interest;1.8;0.2;0.2;0.1;None;
Unearned Revenue Non-Current;35.2;37.6;44.1;38.7;None;
Pension & Other Post-Retirement Benefits;320.1;325.7;361.0;344.2;None;
Deferred Tax Liability Non-Current;193.5;204.5;201.8;228.3;None;
Other Non-Current Liabilities;27.1;25.0;90.0;103.0;None;
TOTAL LIABILITIES;4844.1;5254.7;5670.6;5813.8;None;
Common Stock;296.9;296.9;296.9;296.9;None;
Additional Paid in Capital;542.7;542.7;542.7;542.7;None;
Retained Earnings;2566.3;2758.6;2923.5;3036.6;None;
Treasury Stock;--;--;-1.8;-0.2;None;
Comprehensive Income and Other;-0.1;1.0;-49.3;-51.1;None;
TOTAL COMMON EQUITY;3405.8;3599.3;3712.1;3824.8;None;
TOTAL EQUITY;3407.6;3599.5;3712.3;3824.9;None;
TOTAL LIABILITIES AND EQUITY;8251.7;8854.2;9382.9;9638.7;None;
