Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;2524.2;2553.7;2702.2;2820.2;None;
TOTAL REVENUES;2524.2;2553.7;2702.2;2820.2;None;
Cost of Goods Sold;911.5;879.8;927.9;973.3;None;
GROSS PROFIT;1612.8;1673.9;1774.2;1846.8;None;
Selling General & Admin Expenses Total;4.9;12.1;7.3;6.9;None;
Depreciation & Amortization Total;378.8;382.6;417.8;439.5;None;
Other Operating Expenses;675.5;693.8;737.7;769.0;None;
OTHER OPERATING EXPENSES TOTAL;1059.1;1088.5;1162.9;1215.4;None;
OPERATING INCOME;553.6;585.4;611.4;631.4;None;
Interest Expense;-171.7;-109.7;-123.1;-128.1;None;
Interest and Investment Income;3.2;8.6;4.8;2.6;None;
NET INTEREST EXPENSE;-168.5;-101.1;-118.3;-125.5;None;
Income (Loss) on Equity Investments;15.7;18.6;38.1;41.1;None;
Currency Exchange Gains (Loss);1.8;3.1;-3.2;-2.0;None;
Other Non-Operating Income (Expenses);69.8;2.8;5.5;2.5;None;
EBT EXCLUDING UNUSUAL ITEMS;472.3;508.8;533.4;547.5;None;
Merger & Restructuring Charges;--;--;--;-24.0;None;
Gain (Loss) on Sale of Investments;0.7;-0.1;-13.6;-12.0;None;
Gain (Loss) on Sale of Assets;-1.3;--;--;--;None;
Other Unusual Items Total;-12.4;44.0;0.0;2.6;None;
Legal Settlements;-12.4;--;--;2.2;None;
Other Unusual Items;--;44.2;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;459.2;552.8;519.7;514.0;None;
Income Tax Expense;150.1;192.3;176.3;209.4;None;
Minority Interest in Earnings;-0.3;0.8;0.1;0.1;None;
Earnings from Continuing Operations;309.2;360.5;343.4;304.6;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-8.8;-13.4;-4.9;--;None;
NET INCOME;300.1;347.8;338.6;304.7;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;300.1;347.8;338.6;304.7;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;308.9;361.2;343.5;304.7;None;
