Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;3751.0;2283.0;3420.0;3684.0;None;
Short-Term Investments;14.0;10.0;--;--;None;
Trading Asset Securities;349.0;160.0;239.0;107.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;4114.0;2453.0;3659.0;3791.0;None;
Accounts Receivable;2142.0;1774.0;1859.0;1775.0;None;
Notes Receivable;21.0;15.0;20.0;23.0;None;
Other Receivables;325.0;363.0;321.0;274.0;None;
TOTAL RECEIVABLES;2488.0;2152.0;2200.0;2072.0;None;
Inventory;537.0;585.0;521.0;511.0;None;
Prepaid Expenses;242.0;209.0;156.0;164.0;None;
Restricted Cash;--;533.0;636.0;825.0;None;
Other Current Assets;639.0;476.0;407.0;574.0;None;
TOTAL CURRENT ASSETS;8020.0;6408.0;7579.0;7937.0;None;
Gross Property Plant and Equipment;22669.0;23928.0;23534.0;23293.0;None;
Accumulated Depreciation;-9068.0;-11184.0;-11554.0;-12083.0;None;
NET PROPERTY PLANT AND EQUIPMENT;13601.0;12744.0;11980.0;11210.0;None;
Goodwill;401.0;426.0;252.0;237.0;None;
Long-Term Investments;511.0;1651.0;961.0;972.0;None;
Loans Receivable Long Term;156.0;197.0;112.0;106.0;None;
Deferred Tax Assets Long Term;942.0;1143.0;1392.0;436.0;None;
Other Intangibles;612.0;774.0;842.0;896.0;None;
Other Long-Term Assets;3532.0;3974.0;3602.0;3629.0;None;
TOTAL ASSETS;27775.0;27317.0;26720.0;25423.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;2032.0;2599.0;2219.0;2369.0;None;
Accrued Expenses;1222.0;1325.0;1346.0;1539.0;None;
Short-Term Borrowings;116.0;157.0;257.0;166.0;None;
Current Portion of Long-Term Debt/Capital Lease;1840.0;1175.0;1441.0;2141.0;None;
Current Portion of Capital Lease Obligations;579.0;446.0;588.0;599.0;None;
Current Income Taxes Payable;11.0;6.0;3.0;2.0;None;
Other Current Liabilities Total;1992.0;1136.0;1554.0;1397.0;None;
Unearned Revenue Current;3254.0;2749.0;3007.0;3246.0;None;
TOTAL CURRENT LIABILITIES;10467.0;9147.0;9827.0;10860.0;None;
Long-Term Debt;5927.0;5743.0;5839.0;4913.0;None;
Capital Leases;3421.0;3618.0;3919.0;3808.0;None;
Minority Interest;55.0;54.0;48.0;48.0;None;
Unearned Revenue Non-Current;87.0;19.0;32.0;6.0;None;
Pension & Other Post-Retirement Benefits;919.0;1056.0;1965.0;1853.0;None;
Deferred Tax Liability Non-Current;418.0;466.0;149.0;178.0;None;
Other Non-Current Liabilities;1118.0;1174.0;1352.0;1515.0;None;
TOTAL LIABILITIES;22357.0;21223.0;23083.0;23133.0;None;
Common Stock;2552.0;300.0;300.0;300.0;None;
Additional Paid in Capital;719.0;2971.0;2971.0;2971.0;None;
Retained Earnings;-425.0;590.0;-305.0;-1023.0;None;
Treasury Stock;-106.0;-89.0;-85.0;-85.0;None;
Comprehensive Income and Other;2623.0;2268.0;708.0;79.0;None;
TOTAL COMMON EQUITY;5363.0;6040.0;3589.0;2242.0;None;
TOTAL EQUITY;5418.0;6094.0;3637.0;2290.0;None;
TOTAL LIABILITIES AND EQUITY;27775.0;27317.0;26720.0;25423.0;None;
