Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;20994.0;24363.0;25423.0;25520.0;None;
Other Revenues;5.0;39.0;16.0;10.0;None;
TOTAL REVENUES;20999.0;24402.0;25439.0;25530.0;None;
Cost of Goods Sold;17992.0;19777.0;21362.0;20882.0;None;
GROSS PROFIT;3007.0;4625.0;4077.0;4648.0;None;
Selling General & Admin Expenses Total;854.0;1293.0;866.0;852.0;None;
Depreciation & Amortization Total;1640.0;1700.0;1730.0;1726.0;None;
Other Operating Expenses;2013.0;2018.0;1895.0;1921.0;None;
OTHER OPERATING EXPENSES TOTAL;4507.0;5011.0;4491.0;4499.0;None;
OPERATING INCOME;-1500.0;-386.0;-414.0;149.0;None;
Interest Expense;-358.0;-389.0;-342.0;-356.0;None;
Interest and Investment Income;21.0;46.0;28.0;26.0;None;
NET INTEREST EXPENSE;-337.0;-343.0;-314.0;-330.0;None;
Income (Loss) on Equity Investments;42.0;9.0;-105.0;-295.0;None;
Currency Exchange Gains (Loss);130.0;-111.0;154.0;109.0;None;
Other Non-Operating Income (Expenses);-219.0;-92.0;68.0;-15.0;None;
EBT EXCLUDING UNUSUAL ITEMS;-1884.0;-923.0;-611.0;-382.0;None;
Merger & Restructuring Charges;-152.0;0.0;-455.0;-209.0;None;
Impairment of Goodwill;--;--;-5.0;--;None;
Gain (Loss) on Sale of Investments;85.0;--;--;--;None;
Gain (Loss) on Sale of Assets;-21.0;16.0;8.0;-12.0;None;
Other Unusual Items Total;-174.0;-143.0;57.0;-136.0;None;
Other Unusual Items;-61.0;-143.0;57.0;-136.0;None;
EBT INCLUDING UNUSUAL ITEMS;-2146.0;-1050.0;-1006.0;-739.0;None;
Income Tax Expense;-586.0;-245.0;17.0;957.0;None;
Minority Interest in Earnings;1.0;-4.0;-5.0;-9.0;None;
Earnings from Continuing Operations;-1560.0;-805.0;-1023.0;-1696.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;--;-197.0;-122.0;None;
NET INCOME;-1559.0;-809.0;-1225.0;-1827.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-1559.0;-809.0;-1225.0;-1827.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-1559.0;-809.0;-1028.0;-1705.0;None;
