Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1523.1;1761.1;1154.2;940.1;None;
Trading Asset Securities;14.1;2.5;11.8;4.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1537.2;1763.6;1166.0;944.4;None;
Accounts Receivable;2641.7;2779.3;2826.5;2691.1;None;
Other Receivables;68.0;52.0;153.0;175.7;None;
TOTAL RECEIVABLES;2709.7;2831.3;2979.5;2866.8;None;
Inventory;741.7;784.1;775.8;792.3;None;
Prepaid Expenses;63.5;77.3;--;--;None;
Other Current Assets;414.9;410.2;362.0;401.1;None;
TOTAL CURRENT ASSETS;5467.0;5866.5;5283.3;5004.6;None;
Gross Property Plant and Equipment;24645.5;26729.1;28008.4;28394.1;None;
Accumulated Depreciation;-13608.8;-14632.2;-15223.7;-15168.4;None;
NET PROPERTY PLANT AND EQUIPMENT;11036.7;12096.9;12784.7;13225.7;None;
Goodwill;4390.8;4558.5;5132.7;5089.8;None;
Long-Term Investments;341.6;315.7;323.9;275.0;None;
Loans Receivable Long Term;40.7;49.1;47.1;55.7;None;
Deferred Tax Assets Long Term;306.3;290.3;372.8;301.7;None;
Other Intangibles;670.1;638.2;726.5;713.2;None;
Other Long-Term Assets;284.4;308.2;340.3;428.9;None;
TOTAL ASSETS;22537.6;24123.4;25011.3;25094.6;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1692.4;1741.2;1673.5;1662.3;None;
Accrued Expenses;352.6;317.8;487.6;487.7;None;
Short-Term Borrowings;--;48.7;67.7;87.1;None;
Current Portion of Long-Term Debt/Capital Lease;925.7;1339.2;1418.6;1102.2;None;
Current Portion of Capital Lease Obligations;6.8;5.4;5.8;5.5;None;
Current Income Taxes Payable;176.7;162.3;--;--;None;
Other Current Liabilities Total;1330.8;1437.6;1491.7;1592.5;None;
TOTAL CURRENT LIABILITIES;4478.2;5046.8;5139.1;4931.8;None;
Long-Term Debt;5720.3;5688.8;5796.1;5812.7;None;
Capital Leases;18.7;16.7;16.1;15.1;None;
Minority Interest;209.0;237.1;232.6;263.0;None;
Unearned Revenue Non-Current;90.1;85.3;77.5;67.6;None;
Deferred Tax Liability Non-Current;1126.4;1204.9;1132.6;1196.3;None;
Other Non-Current Liabilities;1991.4;2085.2;2426.9;2183.0;None;
TOTAL LIABILITIES;13425.1;14127.7;14588.3;14206.5;None;
Common Stock;1562.5;1561.0;1717.5;1720.6;None;
Additional Paid in Capital;170.3;122.6;20.8;81.2;None;
Retained Earnings;7538.5;8329.4;1591.1;1640.3;None;
Treasury Stock;-101.1;-91.6;-75.0;-88.2;None;
Comprehensive Income and Other;-266.7;-162.8;6936.0;7271.2;None;
TOTAL COMMON EQUITY;8903.5;9758.6;10190.4;10625.1;None;
TOTAL EQUITY;9112.5;9995.7;10423.0;10888.1;None;
TOTAL LIABILITIES AND EQUITY;22537.6;24123.4;25011.3;25094.6;None;
