Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;13488.0;14456.9;15326.3;15225.2;None;
Other Revenues;129.4;139.3;134.5;189.3;None;
TOTAL REVENUES;13617.4;14596.2;15460.8;15414.5;None;
Cost of Goods Sold;5240.0;5761.6;6098.6;5985.1;None;
GROSS PROFIT;8377.4;8834.6;9362.2;9429.4;None;
Selling General & Admin Expenses Total;2442.8;2537.0;2744.1;2810.8;None;
Depreciation & Amortization Total;1122.1;1154.9;1231.8;1236.3;None;
Other Operating Expenses;2624.8;2789.5;2922.8;2897.5;None;
OTHER OPERATING EXPENSES TOTAL;6189.7;6481.4;6898.7;6944.6;None;
OPERATING INCOME;2187.7;2353.2;2463.5;2484.8;None;
Interest Expense;-242.0;-254.5;-274.1;-229.3;None;
Interest and Investment Income;13.1;19.0;26.0;9.4;None;
NET INTEREST EXPENSE;-228.9;-235.5;-248.1;-219.9;None;
Income (Loss) on Equity Investments;27.8;32.8;20.0;14.5;None;
Other Non-Operating Income (Expenses);-17.8;-7.2;-13.1;-25.0;None;
EBT EXCLUDING UNUSUAL ITEMS;1968.8;2143.3;2222.3;2254.4;None;
Merger & Restructuring Charges;-13.5;-30.0;-29.4;-127.6;None;
Gain (Loss) on Sale of Assets;--;--;21.9;220.6;None;
Other Unusual Items Total;15.5;57.8;--;-31.0;None;
Legal Settlements;--;--;--;-31.0;None;
Other Unusual Items;7.8;61.2;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;1970.8;2171.1;2214.8;2316.4;None;
Income Tax Expense;512.7;576.4;557.6;611.9;None;
Minority Interest in Earnings;-54.5;-59.8;-66.1;-64.2;None;
Earnings from Continuing Operations;1458.1;1594.7;1657.2;1704.5;None;
NET INCOME;1403.6;1534.9;1591.1;1640.3;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1403.6;1534.9;1591.1;1640.3;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1403.6;1534.9;1591.1;1640.3;None;
