Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;5030.0;5284.0;8756.0;7765.0;None;
Short-Term Investments;6312.0;4780.0;2954.0;3051.0;None;
Trading Asset Securities;--;50.0;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;11342.0;10114.0;11710.0;10816.0;None;
Accounts Receivable;6632.0;6394.0;6788.0;7239.0;None;
Notes Receivable;54.0;78.0;31.0;2.0;None;
Other Receivables;1829.0;2340.0;2216.0;2341.0;None;
TOTAL RECEIVABLES;8515.0;8812.0;9035.0;9582.0;None;
Inventory;20862.0;22563.0;23216.0;25060.0;None;
Prepaid Expenses;521.0;591.0;586.0;442.0;None;
Other Current Assets;750.0;936.0;780.0;1198.0;None;
TOTAL CURRENT ASSETS;41990.0;43016.0;45327.0;47098.0;None;
Gross Property Plant and Equipment;26110.0;28313.0;31122.0;32535.0;None;
Accumulated Depreciation;-12683.0;-14167.0;-15926.0;-16679.0;None;
NET PROPERTY PLANT AND EQUIPMENT;13427.0;14146.0;15196.0;15856.0;None;
Goodwill;9809.0;10812.0;11017.0;10962.0;None;
Long-Term Investments;10339.0;12391.0;10912.0;9149.0;None;
Deferred Tax Assets Long Term;4250.0;4318.0;4532.0;3840.0;None;
Deferred Charges Long Term;946.0;965.0;1365.0;1626.0;None;
Other Intangibles;544.0;1009.0;1047.0;1065.0;None;
Other Long-Term Assets;1882.0;1825.0;2725.0;3715.0;None;
TOTAL ASSETS;83187.0;88482.0;92121.0;93311.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;8546.0;9630.0;9921.0;10372.0;None;
Accrued Expenses;729.0;788.0;904.0;1038.0;None;
Short-Term Borrowings;1156.0;1110.0;853.0;--;None;
Current Portion of Long-Term Debt/Capital Lease;252.0;366.0;420.0;1645.0;None;
Current Portion of Capital Lease Obligations;13.0;13.0;13.0;13.0;None;
Current Income Taxes Payable;254.0;308.0;458.0;616.0;None;
Other Current Liabilities Total;8758.0;9419.0;9700.0;8718.0;None;
Unearned Revenue Current;24075.0;25881.0;26393.0;26192.0;None;
TOTAL CURRENT LIABILITIES;43770.0;47502.0;48649.0;48581.0;None;
Long-Term Debt;2693.0;3457.0;3338.0;3797.0;None;
Capital Leases;177.0;171.0;168.0;159.0;None;
Minority Interest;95.0;15.0;17.0;43.0;None;
Unearned Revenue Non-Current;9132.0;9546.0;10093.0;10464.0;None;
Pension & Other Post-Retirement Benefits;5037.0;5628.0;6159.0;6209.0;None;
Deferred Tax Liability Non-Current;1195.0;1043.0;1502.0;1487.0;None;
Other Non-Current Liabilities;12247.0;12270.0;11792.0;11560.0;None;
TOTAL LIABILITIES;74251.0;79617.0;81701.0;82257.0;None;
Common Stock;816.0;820.0;827.0;783.0;None;
Additional Paid in Capital;7645.0;7519.0;7253.0;5049.0;None;
Retained Earnings;46.0;471.0;894.0;2300.0;None;
Treasury Stock;-112.0;-113.0;-84.0;-50.0;None;
Comprehensive Income and Other;446.0;153.0;1513.0;2929.0;None;
TOTAL COMMON EQUITY;8841.0;8850.0;10403.0;11011.0;None;
TOTAL EQUITY;8936.0;8865.0;10420.0;11054.0;None;
TOTAL LIABILITIES AND EQUITY;83187.0;88482.0;92121.0;93311.0;None;
