Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;45752.0;49128.0;56480.0;59256.0;None;
TOTAL REVENUES;45752.0;49128.0;56480.0;59256.0;None;
Cost of Goods Sold;39484.0;42311.0;48495.0;50856.0;None;
GROSS PROFIT;6268.0;6817.0;7985.0;8400.0;None;
Selling General & Admin Expenses Total;2312.0;2414.0;2869.0;2913.0;None;
R&D Expenses;2939.0;3152.0;3142.0;3160.0;None;
OTHER OPERATING EXPENSES TOTAL;5251.0;5566.0;6011.0;6073.0;None;
OPERATING INCOME;1017.0;1251.0;1974.0;2327.0;None;
Interest Expense;-415.0;-364.0;-522.0;-497.0;None;
Interest and Investment Income;334.0;405.0;243.0;219.0;None;
NET INTEREST EXPENSE;-81.0;41.0;-279.0;-278.0;None;
Income (Loss) on Equity Investments;127.0;164.0;241.0;295.0;None;
Currency Exchange Gains (Loss);71.0;109.0;41.0;-64.0;None;
Other Non-Operating Income (Expenses);-300.0;-201.0;-248.0;-287.0;None;
EBT EXCLUDING UNUSUAL ITEMS;834.0;1364.0;1729.0;1993.0;None;
Merger & Restructuring Charges;--;--;-49.0;--;None;
Impairment of Goodwill;--;6.0;-17.0;-15.0;None;
Gain (Loss) on Sale of Assets;26.0;-9.0;11.0;38.0;None;
Other Unusual Items Total;-44.0;-40.0;-38.0;-39.0;None;
EBT INCLUDING UNUSUAL ITEMS;816.0;1321.0;1636.0;1977.0;None;
Income Tax Expense;244.0;337.0;438.0;502.0;None;
Minority Interest in Earnings;-19.0;-4.0;-1.0;-10.0;None;
Earnings from Continuing Operations;572.0;984.0;1198.0;1475.0;None;
NET INCOME;553.0;980.0;1197.0;1465.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;553.0;980.0;1197.0;1465.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;553.0;980.0;1197.0;1465.0;None;
