Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;527.0;252.0;360.0;377.0;None;
Short-Term Investments;4.0;9.0;8.0;2.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;531.0;261.0;368.0;379.0;None;
Accounts Receivable;875.0;834.0;920.0;824.0;None;
Other Receivables;140.0;153.0;182.0;149.0;None;
TOTAL RECEIVABLES;1015.0;987.0;1102.0;973.0;None;
Inventory;864.0;945.0;920.0;896.0;None;
Other Current Assets;--;380.0;--;--;None;
TOTAL CURRENT ASSETS;2410.0;2573.0;2390.0;2248.0;None;
Gross Property Plant and Equipment;--;--;--;6508.0;None;
Accumulated Depreciation;--;--;--;-4565.0;None;
NET PROPERTY PLANT AND EQUIPMENT;1703.0;1706.0;1852.0;1943.0;None;
Goodwill;282.0;467.0;670.0;661.0;None;
Long-Term Investments;93.0;101.0;107.0;69.0;None;
Loans Receivable Long Term;78.0;96.0;135.0;129.0;None;
Deferred Tax Assets Long Term;29.0;66.0;83.0;66.0;None;
Other Intangibles;212.0;310.0;292.0;312.0;None;
Other Long-Term Assets;11.0;13.0;12.0;48.0;None;
TOTAL ASSETS;4818.0;5332.0;5541.0;5476.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;779.0;665.0;683.0;687.0;None;
Accrued Expenses;215.0;196.0;204.0;203.0;None;
Short-Term Borrowings;25.0;149.0;160.0;65.0;None;
Current Portion of Long-Term Debt/Capital Lease;9.0;123.0;29.0;28.0;None;
Current Portion of Capital Lease Obligations;2.0;1.0;--;--;None;
Current Income Taxes Payable;37.0;39.0;56.0;19.0;None;
Other Current Liabilities Total;67.0;534.0;116.0;54.0;None;
TOTAL CURRENT LIABILITIES;1132.0;1706.0;1248.0;1056.0;None;
Long-Term Debt;575.0;580.0;1068.0;1205.0;None;
Capital Leases;12.0;3.0;3.0;2.0;None;
Minority Interest;21.0;27.0;29.0;37.0;None;
Pension & Other Post-Retirement Benefits;352.0;355.0;432.0;361.0;None;
Deferred Tax Liability Non-Current;52.0;35.0;33.0;64.0;None;
Other Non-Current Liabilities;455.0;436.0;446.0;439.0;None;
TOTAL LIABILITIES;2578.0;3115.0;3230.0;3127.0;None;
Common Stock;615.0;619.0;629.0;630.0;None;
Additional Paid in Capital;1011.0;1021.0;977.0;868.0;None;
Retained Earnings;556.0;463.0;610.0;819.0;None;
Treasury Stock;-6.0;-10.0;-16.0;-12.0;None;
Comprehensive Income and Other;43.0;97.0;82.0;7.0;None;
TOTAL COMMON EQUITY;2219.0;2190.0;2282.0;2312.0;None;
TOTAL EQUITY;2240.0;2217.0;2311.0;2349.0;None;
TOTAL LIABILITIES AND EQUITY;4818.0;5332.0;5541.0;5476.0;None;
