Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;4869.0;5900.0;6395.0;6098.0;None;
TOTAL REVENUES;4869.0;5900.0;6395.0;6098.0;None;
Cost of Goods Sold;3856.0;4632.0;5137.0;4950.0;None;
GROSS PROFIT;1013.0;1268.0;1258.0;1148.0;None;
Selling General & Admin Expenses Total;355.0;383.0;449.0;429.0;None;
R&D Expenses;123.0;132.0;148.0;144.0;None;
Other Operating Expenses;-16.0;--;35.0;186.0;None;
OTHER OPERATING EXPENSES TOTAL;462.0;515.0;632.0;759.0;None;
OPERATING INCOME;551.0;753.0;626.0;389.0;None;
Interest Expense;-10.0;-29.0;-36.0;-41.0;None;
NET INTEREST EXPENSE;-10.0;-29.0;-36.0;-41.0;None;
Income (Loss) on Equity Investments;15.0;17.0;10.0;5.0;None;
Currency Exchange Gains (Loss);--;1.0;-1.0;-1.0;None;
EBT EXCLUDING UNUSUAL ITEMS;556.0;742.0;599.0;352.0;None;
Merger & Restructuring Charges;-41.0;-63.0;-3.0;-41.0;None;
Impairment of Goodwill;10.0;--;--;--;None;
Gain (Loss) on Sale of Investments;--;37.0;--;--;None;
Gain (Loss) on Sale of Assets;1.0;--;26.0;31.0;None;
Other Unusual Items Total;17.0;-19.0;-15.0;-9.0;None;
Legal Settlements;--;-1.0;5.0;-9.0;None;
Other Unusual Items;--;-5.0;-17.0;--;None;
EBT INCLUDING UNUSUAL ITEMS;543.0;697.0;607.0;333.0;None;
Income Tax Expense;115.0;125.0;186.0;161.0;None;
Minority Interest in Earnings;-3.0;-4.0;-1.0;-4.0;None;
Earnings from Continuing Operations;428.0;572.0;421.0;172.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-78.0;-587.0;-200.0;--;None;
NET INCOME;347.0;-19.0;220.0;168.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;347.0;-19.0;220.0;168.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;425.0;568.0;420.0;168.0;None;
