Millions of Euros;2011;2012;2013;2014;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;2701.0;2091.0;2195.0;2320.0;None;
Short-Term Investments;17.0;3.0;1.0;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2718.0;2094.0;2196.0;2320.0;None;
Accounts Receivable;8532.0;9444.0;9443.0;8450.0;None;
Other Receivables;1178.0;1681.0;1434.0;1474.0;None;
TOTAL RECEIVABLES;9710.0;11125.0;10877.0;9924.0;None;
Inventory;3363.0;3138.0;3144.0;2977.0;None;
Prepaid Expenses;329.0;431.0;236.0;238.0;None;
Other Current Assets;1471.0;1455.0;1693.0;1802.0;None;
TOTAL CURRENT ASSETS;17591.0;18243.0;18146.0;17261.0;None;
Gross Property Plant and Equipment;5325.0;5715.0;5958.0;5986.0;None;
Accumulated Depreciation;-2674.0;-2863.0;-2934.0;-2954.0;None;
NET PROPERTY PLANT AND EQUIPMENT;2651.0;2852.0;3024.0;3032.0;None;
Goodwill;5396.0;5483.0;5536.0;5281.0;None;
Long-Term Investments;207.0;531.0;698.0;620.0;None;
Loans Receivable Long Term;138.0;119.0;139.0;169.0;None;
Deferred Tax Assets Long Term;1287.0;1472.0;1720.0;1647.0;None;
Deferred Charges Long Term;846.0;1029.0;1176.0;1369.0;None;
Other Intangibles;1088.0;892.0;806.0;685.0;None;
Other Long-Term Assets;429.0;426.0;382.0;364.0;None;
TOTAL ASSETS;29633.0;31047.0;31627.0;30428.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;4071.0;4080.0;4041.0;3866.0;None;
Accrued Expenses;1389.0;1712.0;1603.0;1659.0;None;
Current Portion of Long-Term Debt/Capital Lease;629.0;682.0;325.0;1314.0;None;
Current Portion of Capital Lease Obligations;51.0;48.0;42.0;47.0;None;
Current Income Taxes Payable;56.0;116.0;76.0;98.0;None;
Other Current Liabilities Total;3986.0;3680.0;3223.0;2986.0;None;
Unearned Revenue Current;9185.0;9606.0;10004.0;8577.0;None;
TOTAL CURRENT LIABILITIES;19316.0;19876.0;19272.0;18500.0;None;
Long-Term Debt;3346.0;3863.0;4197.0;4009.0;None;
Capital Leases;491.0;477.0;433.0;398.0;None;
Minority Interest;92.0;107.0;93.0;65.0;None;
Pension & Other Post-Retirement Benefits;1145.0;1417.0;1674.0;1526.0;None;
Deferred Tax Liability Non-Current;88.0;176.0;284.0;176.0;None;
Other Non-Current Liabilities;1095.0;804.0;680.0;710.0;None;
TOTAL LIABILITIES;25481.0;26613.0;26540.0;25319.0;None;
Common Stock;2061.0;2062.0;2157.0;2161.0;None;
Additional Paid in Capital;624.0;622.0;875.0;876.0;None;
Retained Earnings;2699.0;3226.0;3648.0;3964.0;None;
Comprehensive Income and Other;-1324.0;-1583.0;-1686.0;-1957.0;None;
TOTAL COMMON EQUITY;4060.0;4327.0;4994.0;5044.0;None;
TOTAL EQUITY;4152.0;4434.0;5087.0;5109.0;None;
TOTAL LIABILITIES AND EQUITY;29633.0;31047.0;31627.0;30428.0;None;
