Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;215.1;187.1;178.1;323.0;None;
Short-Term Investments;2.7;2.9;2.4;18.1;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;217.8;190.0;180.4;341.1;None;
Accounts Receivable;445.8;423.2;437.2;338.3;None;
Other Receivables;64.0;63.5;66.6;57.6;None;
TOTAL RECEIVABLES;509.7;486.7;503.8;395.9;None;
Inventory;1.9;1.2;0.8;0.7;None;
Other Current Assets;0.9;0.5;0.6;1.2;None;
TOTAL CURRENT ASSETS;730.4;678.3;685.7;738.9;None;
Gross Property Plant and Equipment;110.0;98.5;110.1;124.3;None;
Accumulated Depreciation;-73.6;-69.8;-71.8;-82.9;None;
NET PROPERTY PLANT AND EQUIPMENT;36.4;28.7;38.3;41.4;None;
Goodwill;380.8;316.6;323.7;427.1;None;
Long-Term Investments;0.1;1.2;3.1;5.1;None;
Loans Receivable Long Term;6.7;7.7;10.4;11.5;None;
Deferred Tax Assets Long Term;76.8;98.8;107.5;103.9;None;
Deferred Charges Long Term;0.9;1.1;1.0;0.9;None;
Other Intangibles;41.7;8.3;10.8;44.1;None;
Other Long-Term Assets;22.9;41.9;57.8;84.7;None;
TOTAL ASSETS;1296.5;1182.6;1238.1;1457.5;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;72.5;63.6;72.0;72.5;None;
Accrued Expenses;151.6;146.9;151.1;165.0;None;
Short-Term Borrowings;194.0;194.5;187.4;78.2;None;
Current Portion of Long-Term Debt/Capital Lease;47.2;45.7;39.9;17.1;None;
Current Income Taxes Payable;74.9;78.0;78.1;76.5;None;
Other Current Liabilities Total;66.7;61.0;60.1;71.4;None;
TOTAL CURRENT LIABILITIES;607.0;589.7;588.5;480.6;None;
Long-Term Debt;177.2;141.8;119.3;258.1;None;
Minority Interest;1.6;1.7;0.3;0.2;None;
Pension & Other Post-Retirement Benefits;40.1;28.8;41.8;23.2;None;
Deferred Tax Liability Non-Current;12.2;3.5;4.1;7.2;None;
Other Non-Current Liabilities;13.4;12.3;14.7;34.5;None;
TOTAL LIABILITIES;849.9;776.1;768.5;803.7;None;
Common Stock;71.9;72.4;72.4;87.4;None;
Additional Paid in Capital;338.3;340.6;341.8;489.0;None;
Retained Earnings;-26.0;-45.5;64.9;65.8;None;
Comprehensive Income and Other;60.9;37.3;-9.8;11.5;None;
TOTAL COMMON EQUITY;445.0;404.8;469.3;653.7;None;
TOTAL EQUITY;446.7;406.5;469.6;653.9;None;
TOTAL LIABILITIES AND EQUITY;1296.5;1182.6;1238.1;1457.5;None;
