Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1324.4;1419.5;1455.9;1632.8;None;
TOTAL REVENUES;1324.4;1419.5;1455.9;1632.8;None;
Cost of Goods Sold;957.6;1019.8;1065.2;1192.2;None;
GROSS PROFIT;366.9;399.7;390.7;440.6;None;
Selling General & Admin Expenses Total;287.4;287.0;282.5;315.5;None;
Depreciation & Amortization Total;12.2;20.6;15.2;13.3;None;
Other Operating Expenses;-4.1;-19.8;-30.6;-27.3;None;
OTHER OPERATING EXPENSES TOTAL;295.5;287.8;267.1;301.5;None;
OPERATING INCOME;71.4;111.9;123.6;139.0;None;
Interest Expense;-29.2;-27.5;-19.4;-13.8;None;
Interest and Investment Income;4.6;3.0;2.2;4.4;None;
NET INTEREST EXPENSE;-24.7;-24.5;-17.2;-9.4;None;
Currency Exchange Gains (Loss);0.4;-0.4;-1.8;-1.8;None;
Other Non-Operating Income (Expenses);-0.3;-0.2;-0.1;-0.4;None;
EBT EXCLUDING UNUSUAL ITEMS;46.8;86.8;104.5;127.4;None;
Merger & Restructuring Charges;-14.1;-20.0;-10.2;-31.5;None;
Impairment of Goodwill;-14.7;-15.0;--;--;None;
Gain (Loss) on Sale of Investments;-2.2;-1.6;--;0.0;None;
Other Unusual Items Total;-7.5;-27.3;-3.4;-3.8;None;
Legal Settlements;-1.1;0.1;0.1;-4.7;None;
Other Unusual Items;-6.4;-27.4;-3.5;0.4;None;
EBT INCLUDING UNUSUAL ITEMS;8.3;22.9;90.9;92.1;None;
Income Tax Expense;15.4;17.6;23.5;26.4;None;
Minority Interest in Earnings;-0.3;-0.3;0.0;0.0;None;
Earnings from Continuing Operations;-7.0;5.4;67.5;65.8;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-18.7;-50.5;-2.5;--;None;
NET INCOME;-26.0;-45.5;64.9;65.8;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-26.0;-45.5;64.9;65.8;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-7.3;5.0;67.4;65.8;None;
