Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;5040.0;3533.0;3401.0;4096.0;None;
Short-Term Investments;156.0;133.0;146.0;158.0;None;
Trading Asset Securities;493.0;806.0;1382.0;2101.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;5689.0;4472.0;4929.0;6355.0;None;
Accounts Receivable;3497.0;3293.0;2819.0;2477.0;None;
Notes Receivable;167.0;114.0;41.0;5.0;None;
Other Receivables;168.0;129.0;118.0;33.0;None;
TOTAL RECEIVABLES;3832.0;3536.0;2978.0;2515.0;None;
Inventory;2295.0;1975.0;1940.0;1935.0;None;
Other Current Assets;963.0;1242.0;799.0;939.0;None;
TOTAL CURRENT ASSETS;12779.0;11225.0;10646.0;11744.0;None;
Gross Property Plant and Equipment;4737.0;4767.0;4820.0;4505.0;None;
Accumulated Depreciation;-3426.0;-3535.0;-3687.0;-3430.0;None;
NET PROPERTY PLANT AND EQUIPMENT;1311.0;1232.0;1133.0;1075.0;None;
Goodwill;4370.0;4389.0;3820.0;3156.0;None;
Long-Term Investments;385.0;525.0;346.0;350.0;None;
Loans Receivable Long Term;24.0;37.0;24.0;7.0;None;
Deferred Tax Assets Long Term;948.0;1953.0;985.0;1000.0;None;
Deferred Charges Long Term;569.0;560.0;421.0;378.0;None;
Other Intangibles;1487.0;1214.0;754.0;623.0;None;
Other Long-Term Assets;3003.0;3061.0;3225.0;3563.0;None;
TOTAL ASSETS;24876.0;24196.0;21354.0;21896.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;4325.0;3893.0;3726.0;3518.0;None;
Accrued Expenses;579.0;537.0;510.0;402.0;None;
Short-Term Borrowings;448.0;323.0;281.0;186.0;None;
Current Portion of Long-Term Debt/Capital Lease;818.0;--;570.0;1054.0;None;
Current Portion of Capital Lease Obligations;--;--;--;13.0;None;
Current Income Taxes Payable;137.0;131.0;145.0;93.0;None;
Other Current Liabilities Total;2974.0;2897.0;2363.0;2345.0;None;
Unearned Revenue Current;803.0;590.0;718.0;681.0;None;
TOTAL CURRENT LIABILITIES;10084.0;8371.0;8313.0;8279.0;None;
Long-Term Debt;4112.0;4290.0;3954.0;4912.0;None;
Capital Leases;--;--;--;10.0;None;
Minority Interest;660.0;747.0;745.0;730.0;None;
Pension & Other Post-Retirement Benefits;5090.0;5716.0;5338.0;3854.0;None;
Deferred Tax Liability Non-Current;1126.0;1017.0;889.0;990.0;None;
Other Non-Current Liabilities;259.0;211.0;177.0;188.0;None;
TOTAL LIABILITIES;20671.0;19605.0;18671.0;18233.0;None;
Common Stock;4637.0;4651.0;4653.0;140.0;None;
Additional Paid in Capital;16726.0;16658.0;16593.0;20855.0;None;
Retained Earnings;-13665.0;-15352.0;-17170.0;-15892.0;None;
Treasury Stock;-1566.0;-1567.0;-1567.0;-1428.0;None;
Comprehensive Income and Other;-2587.0;-546.0;-571.0;-742.0;None;
TOTAL COMMON EQUITY;3545.0;3844.0;1938.0;2933.0;None;
TOTAL EQUITY;4205.0;4591.0;2683.0;3663.0;None;
TOTAL LIABILITIES AND EQUITY;24876.0;24196.0;21354.0;21896.0;None;
