Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;15658.0;15332.0;14449.0;14436.0;None;
TOTAL REVENUES;15658.0;15332.0;14449.0;14436.0;None;
Cost of Goods Sold;10356.0;9977.0;10108.0;9793.0;None;
GROSS PROFIT;5302.0;5355.0;4341.0;4643.0;None;
Selling General & Admin Expenses Total;2430.0;2743.0;2517.0;2149.0;None;
R&D Expenses;2603.0;2467.0;2444.0;2374.0;None;
OTHER OPERATING EXPENSES TOTAL;5033.0;5210.0;4961.0;4523.0;None;
OPERATING INCOME;269.0;145.0;-620.0;120.0;None;
Interest Expense;-357.0;-352.0;-356.0;-462.0;None;
Interest and Investment Income;54.0;61.0;79.0;72.0;None;
NET INTEREST EXPENSE;-303.0;-291.0;-277.0;-390.0;None;
Income (Loss) on Equity Investments;14.0;7.0;5.0;7.0;None;
Currency Exchange Gains (Loss);-45.0;-5.0;-2.0;-24.0;None;
Other Non-Operating Income (Expenses);11.0;-55.0;-58.0;-15.0;None;
EBT EXCLUDING UNUSUAL ITEMS;-54.0;-199.0;-952.0;-302.0;None;
Merger & Restructuring Charges;-371.0;-203.0;-489.0;-538.0;None;
Impairment of Goodwill;--;--;-894.0;-548.0;None;
Gain (Loss) on Sale of Investments;27.0;--;-6.0;-1.0;None;
Gain (Loss) on Sale of Assets;62.0;-2.0;11.0;2.0;None;
Other Unusual Items Total;25.0;71.0;1.0;-62.0;None;
Legal Settlements;-28.0;4.0;2.0;-2.0;None;
Other Unusual Items;53.0;67.0;-1.0;-60.0;None;
EBT INCLUDING UNUSUAL ITEMS;-311.0;-333.0;-2329.0;-1449.0;None;
Income Tax Expense;14.0;-628.0;425.0;-171.0;None;
Minority Interest in Earnings;-42.0;-49.0;77.0;-10.0;None;
Earnings from Continuing Operations;-325.0;295.0;-2754.0;-1278.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;33.0;414.0;666.0;-16.0;None;
NET INCOME;-334.0;660.0;-2011.0;-1304.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-334.0;660.0;-2011.0;-1304.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-367.0;246.0;-2677.0;-1288.0;None;
