Millions of US Dollars;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;120.0;247.0;226.0;291.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;120.0;247.0;226.0;291.0;None;
Accounts Receivable;405.0;391.0;330.0;284.0;None;
Other Receivables;656.0;12.0;14.0;13.0;None;
TOTAL RECEIVABLES;1061.0;403.0;344.0;297.0;None;
Inventory;1496.0;1262.0;1227.0;1213.0;None;
Prepaid Expenses;56.0;57.0;54.0;50.0;None;
Restricted Cash;--;--;--;1.0;None;
Other Current Assets;114.0;76.0;66.0;66.0;None;
TOTAL CURRENT ASSETS;2847.0;2045.0;1917.0;1918.0;None;
Gross Property Plant and Equipment;4003.0;3958.0;3903.0;3936.0;None;
Accumulated Depreciation;-1086.0;-1299.0;-1429.0;-1667.0;None;
NET PROPERTY PLANT AND EQUIPMENT;2917.0;2659.0;2474.0;2269.0;None;
Goodwill;825.0;766.0;744.0;719.0;None;
Long-Term Investments;344.0;111.0;53.0;33.0;None;
Deferred Tax Assets Long Term;183.0;249.0;303.0;333.0;None;
Other Intangibles;164.0;138.0;115.0;89.0;None;
Other Long-Term Assets;55.0;233.0;317.0;266.0;None;
TOTAL ASSETS;7335.0;6201.0;5923.0;5627.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;942.0;846.0;950.0;934.0;None;
Accrued Expenses;229.0;211.0;206.0;196.0;None;
Short-Term Borrowings;563.0;498.0;407.0;173.0;None;
Current Portion of Long-Term Debt/Capital Lease;337.0;40.0;28.0;36.0;None;
Current Portion of Capital Lease Obligations;5.0;5.0;9.0;4.0;None;
Current Income Taxes Payable;11.0;4.0;3.0;4.0;None;
Other Current Liabilities Total;230.0;135.0;117.0;127.0;None;
Unearned Revenue Current;6.0;4.0;7.0;6.0;None;
TOTAL CURRENT LIABILITIES;2318.0;1738.0;1718.0;1476.0;None;
Long-Term Debt;911.0;572.0;596.0;765.0;None;
Capital Leases;21.0;15.0;11.0;8.0;None;
Minority Interest;5.0;6.0;4.0;5.0;None;
Pension & Other Post-Retirement Benefits;181.0;174.0;211.0;220.0;None;
Deferred Tax Liability Non-Current;116.0;173.0;136.0;117.0;None;
Other Non-Current Liabilities;134.0;86.0;89.0;83.0;None;
TOTAL LIABILITIES;3681.0;2758.0;2761.0;2669.0;None;
Common Stock;--;547.0;547.0;547.0;None;
Additional Paid in Capital;--;1600.0;1600.0;1627.0;None;
Retained Earnings;3143.0;1133.0;957.0;858.0;None;
Comprehensive Income and Other;506.0;157.0;54.0;-79.0;None;
TOTAL COMMON EQUITY;3649.0;3437.0;3158.0;2953.0;None;
TOTAL EQUITY;3654.0;3443.0;3162.0;2958.0;None;
TOTAL LIABILITIES AND EQUITY;7335.0;6201.0;5923.0;5627.0;None;
