Millions of US Dollars;2010;2011;2012;2013;Trend;
Revenues;5604.0;6345.0;5261.0;5120.0;None;
TOTAL REVENUES;5604.0;6345.0;5261.0;5120.0;None;
Cost of Goods Sold;5230.0;6035.0;5098.0;4890.0;None;
GROSS PROFIT;374.0;310.0;163.0;230.0;None;
Selling General & Admin Expenses Total;257.0;261.0;239.0;228.0;None;
OTHER OPERATING EXPENSES TOTAL;257.0;261.0;239.0;228.0;None;
OPERATING INCOME;117.0;49.0;-76.0;2.0;None;
Interest Expense;-116.0;-73.0;-76.0;-92.0;None;
Interest and Investment Income;18.0;5.0;5.0;6.0;None;
NET INTEREST EXPENSE;-98.0;-68.0;-71.0;-86.0;None;
Currency Exchange Gains (Loss);6.0;-30.0;-5.0;-14.0;None;
Other Non-Operating Income (Expenses);-19.0;-54.0;2.0;-31.0;None;
EBT EXCLUDING UNUSUAL ITEMS;6.0;-103.0;-150.0;-129.0;None;
Merger & Restructuring Charges;--;--;--;-5.0;None;
Gain (Loss) on Sale of Investments;120.0;--;--;-1.0;None;
Other Unusual Items Total;-24.0;-4.0;-27.0;-8.0;None;
EBT INCLUDING UNUSUAL ITEMS;102.0;-107.0;-177.0;-143.0;None;
Income Tax Expense;-3.0;-48.0;-66.0;-44.0;None;
Minority Interest in Earnings;-1.0;-1.0;--;-1.0;None;
Earnings from Continuing Operations;105.0;-59.0;-111.0;-99.0;None;
NET INCOME;104.0;-60.0;-111.0;-100.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;104.0;-60.0;-111.0;-100.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;104.0;-60.0;-111.0;-100.0;None;
