Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;3358.0;2347.0;1543.0;1761.0;None;
Short-Term Investments;210.0;358.0;358.0;88.0;None;
Trading Asset Securities;--;78.0;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;3568.0;2783.0;1901.0;1849.0;None;
Accounts Receivable;2267.0;2544.0;2130.0;2067.0;None;
Other Receivables;2401.0;1327.0;2284.0;2148.0;None;
TOTAL RECEIVABLES;4668.0;3871.0;4414.0;4215.0;None;
Inventory;2599.0;2579.0;2608.0;2331.0;None;
Other Current Assets;832.0;1548.0;225.0;643.0;None;
TOTAL CURRENT ASSETS;11667.0;10781.0;9148.0;9038.0;None;
Gross Property Plant and Equipment;--;24530.0;--;--;None;
Accumulated Depreciation;--;-18043.0;--;--;None;
NET PROPERTY PLANT AND EQUIPMENT;6249.0;6487.0;7738.0;8731.0;None;
Goodwill;4625.0;4239.0;3998.0;3864.0;None;
Long-Term Investments;1717.0;624.0;686.0;606.0;None;
Deferred Tax Assets Long Term;1044.0;861.0;1029.0;1153.0;None;
Deferred Charges Long Term;--;1798.0;--;--;None;
Other Intangibles;3652.0;1131.0;2961.0;2641.0;None;
Other Long-Term Assets;5584.0;5311.0;5695.0;6057.0;None;
TOTAL ASSETS;34538.0;31232.0;31255.0;32090.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1641.0;1763.0;1928.0;1817.0;None;
Accrued Expenses;--;2026.0;--;--;None;
Short-Term Borrowings;703.0;532.0;286.0;517.0;None;
Current Portion of Long-Term Debt/Capital Lease;--;612.0;--;--;None;
Current Income Taxes Payable;52.0;58.0;72.0;80.0;None;
Other Current Liabilities Total;4430.0;2869.0;9307.0;10311.0;None;
Unearned Revenue Current;3923.0;4148.0;--;--;None;
TOTAL CURRENT LIABILITIES;10749.0;12008.0;11593.0;12725.0;None;
Long-Term Debt;6537.0;4949.0;5564.0;5659.0;None;
Minority Interest;915.0;514.0;382.0;408.0;None;
Pension & Other Post-Retirement Benefits;1171.0;2003.0;2026.0;1958.0;None;
Deferred Tax Liability Non-Current;570.0;156.0;23.0;31.0;None;
Other Non-Current Liabilities;5933.0;6153.0;6493.0;6636.0;None;
TOTAL LIABILITIES;24960.0;25269.0;25699.0;27009.0;None;
Common Stock;1452.0;1456.0;1456.0;1456.0;None;
Additional Paid in Capital;5937.0;6419.0;3759.0;3298.0;None;
Retained Earnings;883.0;-2503.0;--;--;None;
Comprehensive Income and Other;391.0;77.0;-41.0;-81.0;None;
TOTAL COMMON EQUITY;8663.0;5449.0;5174.0;4673.0;None;
TOTAL EQUITY;9578.0;5963.0;5556.0;5081.0;None;
TOTAL LIABILITIES AND EQUITY;34538.0;31232.0;31255.0;32090.0;None;
