Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;9104.0;8872.0;8886.0;9240.0;None;
TOTAL REVENUES;9104.0;8872.0;8886.0;9240.0;None;
Cost of Goods Sold;7824.0;8020.0;7955.0;7990.0;None;
GROSS PROFIT;1280.0;852.0;931.0;1250.0;None;
Selling General & Admin Expenses Total;783.0;745.0;627.0;605.0;None;
R&D Expenses;354.0;343.0;311.0;293.0;None;
Depreciation & Amortization Total;--;1456.0;--;--;None;
Other Operating Expenses;567.0;40.0;-314.0;340.0;None;
OTHER OPERATING EXPENSES TOTAL;1704.0;2584.0;624.0;1238.0;None;
OPERATING INCOME;-424.0;-1732.0;307.0;12.0;None;
Interest Expense;-195.0;-230.0;-232.0;-258.0;None;
Interest and Investment Income;37.0;183.0;51.0;44.0;None;
NET INTEREST EXPENSE;-158.0;-47.0;-181.0;-214.0;None;
Income (Loss) on Equity Investments;153.0;62.0;11.0;--;None;
Currency Exchange Gains (Loss);--;-16.0;--;--;None;
Other Non-Operating Income (Expenses);-156.0;-356.0;-231.0;-47.0;None;
EBT EXCLUDING UNUSUAL ITEMS;-585.0;-2089.0;-94.0;-249.0;None;
Merger & Restructuring Charges;--;-270.0;--;--;None;
Gain (Loss) on Sale of Investments;--;-49.0;93.0;12.0;None;
Other Unusual Items Total;--;48.0;--;--;None;
Other Unusual Items;--;648.0;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;-585.0;-2360.0;-1.0;-237.0;None;
Income Tax Expense;-334.0;283.0;-152.0;-62.0;None;
Minority Interest in Earnings;-92.0;142.0;-36.0;-80.0;None;
Earnings from Continuing Operations;-251.0;-2643.0;151.0;-175.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;1226.0;-2.0;-214.0;-239.0;None;
NET INCOME;883.0;-2503.0;-99.0;-494.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;883.0;-2503.0;-99.0;-494.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-343.0;-2501.0;115.0;-255.0;None;
