Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;58.0;59.6;66.5;97.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;58.0;59.6;66.5;97.0;None;
Accounts Receivable;365.0;386.0;402.8;397.2;None;
Other Receivables;22.1;30.2;34.4;46.4;None;
TOTAL RECEIVABLES;387.1;416.2;437.2;443.6;None;
Inventory;0.1;0.1;0.1;0.1;None;
Prepaid Expenses;4.5;4.7;6.2;8.7;None;
Other Current Assets;--;--;0.0;0.0;None;
TOTAL CURRENT ASSETS;449.7;480.5;509.9;549.4;None;
Gross Property Plant and Equipment;32.9;37.8;42.0;49.9;None;
Accumulated Depreciation;-23.6;-25.2;-27.9;-31.6;None;
NET PROPERTY PLANT AND EQUIPMENT;9.4;12.6;14.1;18.3;None;
Goodwill;179.5;184.4;200.6;228.3;None;
Long-Term Investments;15.0;28.0;25.0;20.5;None;
Deferred Tax Assets Long Term;7.4;8.8;9.9;8.8;None;
Other Intangibles;11.5;9.9;10.1;8.7;None;
Other Long-Term Assets;0.0;0.0;6.6;23.1;None;
TOTAL ASSETS;672.4;724.2;776.1;857.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;31.9;34.1;38.1;48.8;None;
Accrued Expenses;104.3;124.4;131.1;131.8;None;
Short-Term Borrowings;13.5;14.1;7.1;4.8;None;
Current Portion of Long-Term Debt/Capital Lease;1.3;0.7;0.6;10.4;None;
Current Income Taxes Payable;87.5;83.1;87.9;79.3;None;
Other Current Liabilities Total;28.3;32.3;29.9;36.3;None;
Unearned Revenue Current;19.7;17.3;14.1;15.8;None;
TOTAL CURRENT LIABILITIES;286.4;306.1;308.8;327.2;None;
Long-Term Debt;1.5;0.7;0.5;7.3;None;
Capital Leases;0.5;--;--;--;None;
Minority Interest;0.3;0.5;0.5;1.1;None;
Pension & Other Post-Retirement Benefits;5.9;7.4;8.6;10.7;None;
Deferred Tax Liability Non-Current;0.3;0.3;0.9;0.3;None;
Other Non-Current Liabilities;9.8;10.4;9.7;9.2;None;
TOTAL LIABILITIES;304.3;324.9;328.5;354.7;None;
Common Stock;32.5;32.8;33.0;33.6;None;
Additional Paid in Capital;17.2;22.7;25.4;37.0;None;
Retained Earnings;53.6;59.6;78.2;73.8;None;
Treasury Stock;-7.5;-9.0;-9.2;-9.2;None;
Comprehensive Income and Other;271.9;292.8;319.8;366.1;None;
TOTAL COMMON EQUITY;367.7;398.8;447.2;501.2;None;
TOTAL EQUITY;368.1;399.3;447.7;502.3;None;
TOTAL LIABILITIES AND EQUITY;672.4;724.2;776.1;857.0;None;
