Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;916.6;1065.7;1198.0;1216.2;None;
TOTAL REVENUES;916.6;1065.7;1198.0;1216.2;None;
Cost of Goods Sold;703.5;822.8;934.0;949.4;None;
GROSS PROFIT;213.1;242.9;264.0;266.8;None;
Selling General & Admin Expenses Total;98.9;109.2;117.5;123.4;None;
Depreciation & Amortization Total;6.1;7.9;8.4;10.5;None;
Other Operating Expenses;14.6;18.3;17.4;17.8;None;
OTHER OPERATING EXPENSES TOTAL;119.5;135.4;143.2;151.7;None;
OPERATING INCOME;93.6;107.5;120.7;115.1;None;
Interest Expense;-1.2;-1.2;-1.2;-0.8;None;
Interest and Investment Income;0.1;0.4;0.5;0.5;None;
NET INTEREST EXPENSE;-1.1;-0.8;-0.7;-0.3;None;
Income (Loss) on Equity Investments;--;0.8;1.7;2.3;None;
Currency Exchange Gains (Loss);-0.4;0.1;-0.3;-1.7;None;
Other Non-Operating Income (Expenses);-0.2;-0.3;0.3;-0.7;None;
EBT EXCLUDING UNUSUAL ITEMS;91.9;107.3;121.7;114.6;None;
Merger & Restructuring Charges;-1.9;-3.9;-4.6;-3.2;None;
Impairment of Goodwill;--;-3.1;--;-4.9;None;
Gain (Loss) on Sale of Investments;--;-0.4;0.0;--;None;
Gain (Loss) on Sale of Assets;-0.8;-0.4;-0.1;0.1;None;
Other Unusual Items Total;-2.5;-4.9;0.3;3.8;None;
Legal Settlements;-0.5;0.7;-0.3;2.1;None;
Other Unusual Items;-2.0;-5.6;0.7;1.7;None;
EBT INCLUDING UNUSUAL ITEMS;86.6;94.6;117.4;110.3;None;
Income Tax Expense;32.9;35.0;39.0;36.2;None;
Minority Interest in Earnings;-0.1;0.0;-0.2;-0.3;None;
Earnings from Continuing Operations;53.7;59.6;78.4;74.1;None;
NET INCOME;53.6;59.6;78.2;73.8;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;53.6;59.6;78.2;73.8;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;53.6;59.6;78.2;73.8;None;
