Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;422.2;766.8;1159.7;1306.2;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;422.2;766.8;1159.7;1306.2;None;
Accounts Receivable;1232.3;1924.5;1960.0;1722.5;None;
Other Receivables;112.5;357.2;289.5;277.6;None;
TOTAL RECEIVABLES;1344.8;2281.7;2249.5;2000.1;None;
Inventory;8.9;25.1;16.6;17.3;None;
Prepaid Expenses;66.2;131.0;145.7;154.8;None;
Other Current Assets;2.1;57.3;43.5;30.4;None;
TOTAL CURRENT ASSETS;1844.2;3261.9;3615.0;3508.8;None;
Gross Property Plant and Equipment;1226.8;1552.8;1641.7;1632.4;None;
Accumulated Depreciation;-830.4;-855.9;-973.9;-1013.4;None;
NET PROPERTY PLANT AND EQUIPMENT;396.4;696.9;667.8;619.0;None;
Goodwill;1609.9;1917.6;1942.2;1915.7;None;
Long-Term Investments;26.9;208.1;54.4;51.5;None;
Deferred Tax Assets Long Term;321.8;352.7;362.5;336.5;None;
Other Intangibles;76.0;466.7;464.0;445.4;None;
Other Long-Term Assets;203.9;473.9;341.4;325.3;None;
TOTAL ASSETS;4479.1;7377.8;7447.3;7202.2;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;496.1;923.1;1021.3;1054.8;None;
Accrued Expenses;584.3;1055.5;976.8;960.8;None;
Short-Term Borrowings;9.6;69.8;70.0;10.0;None;
Current Portion of Long-Term Debt/Capital Lease;43.1;104.3;99.5;83.5;None;
Current Portion of Capital Lease Obligations;0.9;0.5;6.2;6.1;None;
Current Income Taxes Payable;32.6;76.1;99.5;80.2;None;
Other Current Liabilities Total;238.7;729.3;437.3;371.0;None;
Unearned Revenue Current;223.7;359.6;483.2;399.6;None;
TOTAL CURRENT LIABILITIES;1628.1;3317.7;3187.6;2959.9;None;
Long-Term Debt;507.7;733.8;749.8;302.7;None;
Capital Leases;0.9;0.7;8.4;4.6;None;
Minority Interest;5.4;6.0;30.8;30.0;None;
Pension & Other Post-Retirement Benefits;501.0;571.8;736.3;723.1;None;
Deferred Tax Liability Non-Current;98.5;237.7;192.4;147.5;None;
Other Non-Current Liabilities;111.4;185.2;193.5;125.2;None;
TOTAL LIABILITIES;2847.6;5046.9;5068.0;4263.0;None;
Common Stock;69.9;83.6;85.7;98.1;None;
Additional Paid in Capital;1333.9;1766.5;1842.5;2385.1;None;
Retained Earnings;325.2;588.5;546.4;620.3;None;
Comprehensive Income and Other;-102.9;-113.7;-126.1;-194.3;None;
TOTAL COMMON EQUITY;1626.1;2324.9;2348.5;2909.2;None;
TOTAL EQUITY;1631.5;2330.9;2379.3;2939.2;None;
TOTAL LIABILITIES AND EQUITY;4479.1;7377.8;7447.3;7202.2;None;
