Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;5020.6;6812.5;8844.3;8614.6;None;
TOTAL REVENUES;5020.6;6812.5;8844.3;8614.6;None;
Cost of Goods Sold;4490.5;6122.0;7907.7;7627.6;None;
GROSS PROFIT;530.1;690.5;936.6;987.0;None;
Selling General & Admin Expenses Total;194.9;248.2;316.3;299.6;None;
Other Operating Expenses;4.2;38.4;83.5;86.5;None;
OTHER OPERATING EXPENSES TOTAL;199.1;286.6;399.8;386.1;None;
OPERATING INCOME;331.0;403.9;536.8;600.9;None;
Interest Expense;-18.6;-29.3;-34.4;-31.7;None;
NET INTEREST EXPENSE;-18.6;-29.3;-34.4;-31.7;None;
Income (Loss) on Equity Investments;--;-0.2;1.3;1.5;None;
Currency Exchange Gains (Loss);0.4;8.0;-6.2;-9.4;None;
Other Non-Operating Income (Expenses);-0.3;-15.6;-11.4;-22.4;None;
EBT EXCLUDING UNUSUAL ITEMS;312.5;366.8;486.1;538.9;None;
Merger & Restructuring Charges;-112.4;-110.0;-110.4;-145.3;None;
Impairment of Goodwill;-25.0;--;--;--;None;
Gain (Loss) on Sale of Investments;0.8;1.5;0.2;0.8;None;
Gain (Loss) on Sale of Assets;--;0.4;--;18.9;None;
Other Unusual Items Total;0.1;53.4;-45.0;-57.8;None;
Other Unusual Items;0.1;53.4;-45.0;-57.8;None;
EBT INCLUDING UNUSUAL ITEMS;176.0;312.1;330.9;355.5;None;
Income Tax Expense;57.8;129.3;102.9;95.9;None;
Minority Interest in Earnings;-2.1;-1.2;-4.2;2.0;None;
Earnings from Continuing Operations;118.2;182.8;228.0;259.6;None;
NET INCOME;116.1;181.6;223.8;261.6;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;116.1;181.6;223.8;261.6;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;116.1;181.6;223.8;261.6;None;
