Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;371.2;300.7;287.3;243.2;None;
Short-Term Investments;40.7;39.2;59.6;67.7;None;
Trading Asset Securities;--;0.0;0.3;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;411.9;340.0;347.2;310.9;None;
Accounts Receivable;374.8;393.9;411.5;410.6;None;
Other Receivables;14.5;23.0;34.7;43.2;None;
TOTAL RECEIVABLES;389.3;416.9;446.1;453.8;None;
Inventory;344.0;411.3;404.9;414.2;None;
Other Current Assets;35.7;39.0;49.5;42.2;None;
TOTAL CURRENT ASSETS;1180.9;1207.2;1247.7;1221.1;None;
Gross Property Plant and Equipment;1366.1;1376.4;1434.3;1492.9;None;
Accumulated Depreciation;-1007.9;-1016.2;-1036.3;-1054.6;None;
NET PROPERTY PLANT AND EQUIPMENT;358.2;360.2;398.0;438.3;None;
Goodwill;219.9;211.6;208.8;314.1;None;
Long-Term Investments;72.2;75.2;79.5;0.1;None;
Deferred Tax Assets Long Term;136.1;159.2;176.2;140.0;None;
Deferred Charges Long Term;0.0;0.0;0.0;0.0;None;
Other Intangibles;38.2;51.0;57.5;56.4;None;
Other Long-Term Assets;18.8;17.1;22.5;24.6;None;
TOTAL ASSETS;2024.2;2081.6;2190.3;2194.6;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;130.3;110.8;112.1;115.4;None;
Accrued Expenses;94.5;97.2;98.8;98.2;None;
Short-Term Borrowings;3.2;1.4;4.4;2.7;None;
Current Portion of Long-Term Debt/Capital Lease;8.5;7.4;6.6;49.3;None;
Current Portion of Capital Lease Obligations;0.6;0.8;0.8;0.7;None;
Current Income Taxes Payable;12.2;20.0;18.9;20.8;None;
Other Current Liabilities Total;88.2;95.4;95.9;103.9;None;
TOTAL CURRENT LIABILITIES;336.9;332.1;336.7;390.2;None;
Long-Term Debt;0.7;--;0.3;61.5;None;
Capital Leases;2.1;1.6;1.2;0.8;None;
Minority Interest;--;--;--;36.7;None;
Pension & Other Post-Retirement Benefits;166.9;206.1;277.5;184.2;None;
Deferred Tax Liability Non-Current;22.4;19.0;23.2;29.2;None;
Other Non-Current Liabilities;50.6;57.6;58.1;57.8;None;
TOTAL LIABILITIES;579.6;616.5;696.9;723.7;None;
Common Stock;186.0;182.9;184.8;182.0;None;
Retained Earnings;1191.1;1228.5;1278.1;1298.7;None;
Treasury Stock;-1.9;-3.3;-3.2;-3.0;None;
Comprehensive Income and Other;69.4;56.9;33.8;-43.6;None;
TOTAL COMMON EQUITY;1444.6;1465.1;1493.5;1434.2;None;
TOTAL EQUITY;1444.6;1465.1;1493.5;1470.9;None;
TOTAL LIABILITIES AND EQUITY;2024.2;2081.6;2190.3;2194.6;None;
