Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1831.5;1824.1;1898.7;1887.8;None;
TOTAL REVENUES;1831.5;1824.1;1898.7;1887.8;None;
Cost of Goods Sold;960.9;926.9;934.5;957.1;None;
GROSS PROFIT;870.6;897.2;964.2;930.7;None;
Selling General & Admin Expenses Total;478.5;471.1;498.3;491.9;None;
Other Operating Expenses;77.3;67.5;97.8;92.3;None;
OTHER OPERATING EXPENSES TOTAL;555.8;538.6;596.1;584.2;None;
OPERATING INCOME;314.8;358.6;368.1;346.5;None;
Interest Expense;-9.8;-3.4;-3.0;-1.9;None;
Interest and Investment Income;9.5;10.6;12.5;7.6;None;
NET INTEREST EXPENSE;-0.3;7.2;9.4;5.7;None;
Income (Loss) on Equity Investments;5.0;4.1;3.7;2.4;None;
Currency Exchange Gains (Loss);0.2;-0.7;2.8;0.6;None;
Other Non-Operating Income (Expenses);-1.6;2.7;-1.8;0.3;None;
EBT EXCLUDING UNUSUAL ITEMS;318.1;371.8;382.3;355.5;None;
Merger & Restructuring Charges;-21.0;-5.3;-8.7;-3.7;None;
Impairment of Goodwill;--;-8.7;--;-1.3;None;
Gain (Loss) on Sale of Assets;11.1;-8.7;5.3;1.8;None;
Other Unusual Items Total;-0.3;0.0;0.3;-4.2;None;
EBT INCLUDING UNUSUAL ITEMS;307.8;349.0;379.2;348.2;None;
Income Tax Expense;100.4;113.7;119.6;105.9;None;
Minority Interest in Earnings;--;--;--;-0.8;None;
Earnings from Continuing Operations;207.5;235.3;259.6;242.3;None;
NET INCOME;207.5;235.3;259.6;241.5;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;207.5;235.3;259.6;241.5;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;207.5;235.3;259.6;241.5;None;
