Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1054.0;1027.0;1269.0;969.0;None;
Short-Term Investments;1035.0;--;--;--;None;
Trading Asset Securities;76.0;1114.0;1748.0;2862.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2165.0;2141.0;3017.0;3831.0;None;
Accounts Receivable;1924.0;1981.0;1902.0;1809.0;None;
Notes Receivable;34.0;40.0;25.0;23.0;None;
Other Receivables;681.0;720.0;750.0;770.0;None;
TOTAL RECEIVABLES;2639.0;2741.0;2677.0;2602.0;None;
Inventory;975.0;1061.0;1095.0;1252.0;None;
Prepaid Expenses;86.0;93.0;103.0;106.0;None;
Other Current Assets;39.0;76.0;31.0;59.0;None;
TOTAL CURRENT ASSETS;5904.0;6112.0;6923.0;7850.0;None;
Gross Property Plant and Equipment;8077.0;8441.0;8979.0;9491.0;None;
Accumulated Depreciation;-4267.0;-4525.0;-4864.0;-5157.0;None;
NET PROPERTY PLANT AND EQUIPMENT;3810.0;3916.0;4115.0;4334.0;None;
Goodwill;11311.0;11289.0;11361.0;11474.0;None;
Long-Term Investments;1204.0;1319.0;1188.0;1450.0;None;
Loans Receivable Long Term;42.0;53.0;35.0;25.0;None;
Deferred Tax Assets Long Term;700.0;691.0;694.0;709.0;None;
Other Intangibles;4813.0;4789.0;4904.0;4834.0;None;
Other Long-Term Assets;236.0;257.0;317.0;252.0;None;
TOTAL ASSETS;28020.0;28426.0;29537.0;30928.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;2417.0;2706.0;2941.0;3248.0;None;
Accrued Expenses;1490.0;1559.0;1618.0;1640.0;None;
Short-Term Borrowings;--;852.0;853.0;737.0;None;
Current Portion of Long-Term Debt/Capital Lease;2529.0;1013.0;2323.0;4125.0;None;
Current Income Taxes Payable;252.0;306.0;345.0;279.0;None;
Other Current Liabilities Total;516.0;526.0;473.0;578.0;None;
TOTAL CURRENT LIABILITIES;7204.0;6962.0;8553.0;10607.0;None;
Long-Term Debt;6946.0;7166.0;6346.0;7065.0;None;
Minority Interest;47.0;98.0;63.0;35.0;None;
Unearned Revenue Non-Current;9.0;9.0;12.0;16.0;None;
Pension & Other Post-Retirement Benefits;412.0;458.0;608.0;584.0;None;
Deferred Tax Liability Non-Current;1129.0;1108.0;1202.0;1265.0;None;
Other Non-Current Liabilities;536.0;525.0;562.0;662.0;None;
TOTAL LIABILITIES;16236.0;16228.0;17283.0;20199.0;None;
Common Stock;162.0;161.0;161.0;158.0;None;
Additional Paid in Capital;3627.0;3452.0;3487.0;2930.0;None;
Retained Earnings;9251.0;10192.0;10926.0;11153.0;None;
Treasury Stock;-1216.0;-1564.0;-1993.0;-1871.0;None;
Comprehensive Income and Other;-87.0;-141.0;-390.0;-1676.0;None;
TOTAL COMMON EQUITY;11737.0;12100.0;12191.0;10694.0;None;
TOTAL EQUITY;11784.0;12198.0;12254.0;10729.0;None;
TOTAL LIABILITIES AND EQUITY;28020.0;28426.0;29537.0;30928.0;None;
