Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;17010.0;19318.0;20869.0;21298.0;None;
TOTAL REVENUES;17010.0;19318.0;20869.0;21298.0;None;
Cost of Goods Sold;7957.0;9541.0;10409.0;10977.0;None;
GROSS PROFIT;9053.0;9777.0;10460.0;10321.0;None;
Selling General & Admin Expenses Total;6185.0;6678.0;7242.0;7151.0;None;
R&D Expenses;209.0;233.0;257.0;275.0;None;
Other Operating Expenses;60.0;80.0;187.0;163.0;None;
OTHER OPERATING EXPENSES TOTAL;6454.0;6991.0;7686.0;7589.0;None;
OPERATING INCOME;2599.0;2786.0;2774.0;2732.0;None;
Interest Expense;-230.0;-241.0;-245.0;-269.0;None;
Interest and Investment Income;87.0;67.0;75.0;76.0;None;
NET INTEREST EXPENSE;-143.0;-174.0;-170.0;-193.0;None;
Income (Loss) on Equity Investments;121.0;46.0;54.0;289.0;None;
Other Non-Operating Income (Expenses);-114.0;-107.0;-132.0;-122.0;None;
EBT EXCLUDING UNUSUAL ITEMS;2463.0;2551.0;2526.0;2706.0;None;
Merger & Restructuring Charges;-109.0;-61.0;-100.0;-369.0;None;
Impairment of Goodwill;--;--;-43.0;--;None;
Gain (Loss) on Sale of Investments;237.0;--;--;52.0;None;
Gain (Loss) on Sale of Assets;29.0;86.0;116.0;28.0;None;
Other Unusual Items Total;-2.0;-95.0;--;-263.0;None;
Other Unusual Items;-2.0;-95.0;--;-201.0;None;
EBT INCLUDING UNUSUAL ITEMS;2618.0;2481.0;2499.0;2154.0;None;
Income Tax Expense;578.0;626.0;712.0;604.0;None;
Minority Interest in Earnings;-165.0;-184.0;-115.0;-128.0;None;
Earnings from Continuing Operations;2040.0;1855.0;1787.0;1550.0;None;
NET INCOME;1875.0;1671.0;1672.0;1422.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1875.0;1671.0;1672.0;1422.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1875.0;1671.0;1672.0;1422.0;None;
