Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;44841.0;58382.0;111855.0;108458.0;None;
Trading Asset Securities;579718.0;777150.0;575452.0;471717.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;859119.0;835532.0;839261.0;733221.0;None;
Other Receivables;24939.0;11570.0;26128.0;23152.0;None;
TOTAL RECEIVABLES;24939.0;11570.0;26128.0;23152.0;None;
Other Current Assets;32711.0;--;52602.0;41044.0;None;
TOTAL CURRENT ASSETS;920174.0;940642.0;922973.0;802058.0;None;
Gross Property Plant and Equipment;27260.0;--;28058.0;28299.0;None;
Accumulated Depreciation;-10135.0;--;-10739.0;-11122.0;None;
NET PROPERTY PLANT AND EQUIPMENT;17125.0;18278.0;17319.0;17177.0;None;
Goodwill;11324.0;11406.0;10591.0;9994.0;None;
Deferred Tax Assets Long Term;9242.0;--;7942.0;7561.0;None;
Other Intangibles;2498.0;2472.0;2585.0;2577.0;None;
Other Long-Term Assets;36711.0;12691.0;17212.0;22468.0;None;
TOTAL ASSETS;1998158.0;1965283.0;1907200.0;1800139.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accrued Expenses;5630.0;81010.0;7109.0;7282.0;None;
Short-Term Borrowings;402506.0;463385.0;440820.0;322834.0;None;
Current Portion of Long-Term Debt/Capital Lease;254834.0;--;127479.0;139375.0;None;
Current Income Taxes Payable;2104.0;3489.0;901.0;849.0;None;
Other Current Liabilities Total;327158.0;100013.0;53720.0;70970.0;None;
TOTAL CURRENT LIABILITIES;1563073.0;1194181.0;1172078.0;1103495.0;None;
Long-Term Debt;163553.0;499894.0;357867.0;320954.0;None;
Minority Interest;10997.0;10256.0;8573.0;3571.0;None;
Pension & Other Post-Retirement Benefits;4373.0;--;4876.0;4333.0;None;
Deferred Tax Liability Non-Current;1641.0;--;2042.0;1783.0;None;
Other Non-Current Liabilities;179889.0;185582.0;276320.0;278412.0;None;
TOTAL LIABILITIES;1912529.0;1879657.0;1813183.0;1708977.0;None;
Common Stock;25711.0;70714.0;26714.0;26812.0;None;
Retained Earnings;7843.0;6050.0;6564.0;4832.0;None;
Comprehensive Income and Other;41078.0;-1394.0;52166.0;55947.0;None;
TOTAL COMMON EQUITY;74632.0;75370.0;85444.0;87591.0;None;
TOTAL EQUITY;85629.0;85626.0;94017.0;91162.0;None;
TOTAL LIABILITIES AND EQUITY;1998158.0;1965283.0;1907200.0;1800139.0;None;
