Millions of Euros;2010;2011;2012;2013;Trend;
TOTAL REVENUES;39347.0;35793.0;36923.0;35053.0;None;
GROSS PROFIT;39347.0;35793.0;36923.0;35053.0;None;
Selling General & Admin Expenses Total;1613.0;1508.0;16311.0;15951.0;None;
EBT EXCLUDING UNUSUAL ITEMS;13078.0;9757.0;10866.0;9250.0;None;
Impairment of Goodwill;-78.0;-106.0;-490.0;-251.0;None;
Other Unusual Items Total;20.0;--;3.0;-810.0;None;
Other Unusual Items;--;--;--;-798.0;None;
EBT INCLUDING UNUSUAL ITEMS;13020.0;9651.0;10379.0;8189.0;None;
Income Tax Expense;3856.0;2757.0;3061.0;2750.0;None;
Minority Interest in Earnings;-1321.0;-844.0;-754.0;-607.0;None;
Earnings from Continuing Operations;9164.0;6894.0;7318.0;5439.0;None;
NET INCOME;7843.0;6050.0;6564.0;4832.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;7531.0;6050.0;6282.0;4580.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;7531.0;6050.0;6282.0;4580.0;None;
