Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;346.9;587.4;1103.3;1578.7;None;
Short-Term Investments;324.6;--;--;--;None;
Trading Asset Securities;0.0;--;0.3;0.7;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;671.5;587.4;1103.6;1579.4;None;
Accounts Receivable;1436.0;1418.1;3101.6;3120.5;None;
Notes Receivable;0.6;4.5;11.3;13.4;None;
Other Receivables;332.6;535.9;1167.2;1165.5;None;
TOTAL RECEIVABLES;1769.2;1958.5;4280.1;4299.4;None;
Inventory;175.1;241.2;288.2;349.1;None;
Other Current Assets;--;136.1;216.8;44.7;None;
TOTAL CURRENT ASSETS;2615.7;2923.2;5888.8;6272.6;None;
Gross Property Plant and Equipment;2153.3;2411.1;3111.0;3354.5;None;
Accumulated Depreciation;-1076.7;-1230.8;-1600.4;-1745.9;None;
NET PROPERTY PLANT AND EQUIPMENT;1076.7;1180.2;1510.6;1608.6;None;
Goodwill;1127.1;1084.4;2730.0;2754.1;None;
Long-Term Investments;3405.6;3550.7;4611.3;6508.2;None;
Loans Receivable Long Term;29.1;32.6;153.9;122.7;None;
Deferred Tax Assets Long Term;39.3;26.0;118.4;160.6;None;
Other Intangibles;197.1;321.3;948.3;1010.5;None;
Other Long-Term Assets;15.4;0.2;0.1;61.6;None;
TOTAL ASSETS;8506.0;9118.7;15961.3;18498.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;862.8;990.9;2762.2;2771.9;None;
Accrued Expenses;186.8;208.9;380.3;376.9;None;
Current Portion of Long-Term Debt/Capital Lease;820.2;726.1;962.1;1218.9;None;
Current Income Taxes Payable;218.1;220.7;423.7;504.5;None;
Other Current Liabilities Total;743.7;732.7;1281.0;1253.5;None;
Unearned Revenue Current;31.5;32.2;97.3;88.4;None;
TOTAL CURRENT LIABILITIES;2863.0;2911.7;5906.6;6214.0;None;
Long-Term Debt;1290.6;1755.1;2094.3;2155.1;None;
Minority Interest;299.7;316.8;1396.5;1566.9;None;
Pension & Other Post-Retirement Benefits;103.9;115.3;197.7;206.1;None;
Deferred Tax Liability Non-Current;69.2;60.3;189.6;207.8;None;
Other Non-Current Liabilities;143.9;163.7;308.4;400.2;None;
TOTAL LIABILITIES;4470.6;5006.1;8696.6;9183.3;None;
Common Stock;395.2;401.5;429.9;437.5;None;
Additional Paid in Capital;235.6;287.6;376.0;508.1;None;
Treasury Stock;-354.1;-352.0;-170.5;-184.9;None;
Comprehensive Income and Other;3459.0;3458.7;5232.7;6987.9;None;
TOTAL COMMON EQUITY;3735.8;3795.8;5868.2;7748.7;None;
TOTAL EQUITY;4035.4;4112.6;7264.7;9315.5;None;
TOTAL LIABILITIES AND EQUITY;8506.0;9118.7;15961.3;18498.8;None;
