Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;7010.3;8490.5;10109.4;10848.5;None;
TOTAL REVENUES;7010.3;8490.5;10109.4;10848.5;None;
Cost of Goods Sold;5431.1;6773.6;7610.0;7356.9;None;
GROSS PROFIT;1579.1;1716.9;2499.4;3491.6;None;
Selling General & Admin Expenses Total;1136.8;1213.1;1794.4;2596.7;None;
Depreciation & Amortization Total;181.3;208.0;337.9;350.9;None;
Other Operating Expenses;24.7;5.1;-24.4;-46.2;None;
OTHER OPERATING EXPENSES TOTAL;1342.8;1426.2;2107.9;2901.4;None;
OPERATING INCOME;236.3;290.7;391.5;590.2;None;
Interest Expense;-54.2;-80.5;-99.4;-120.9;None;
Interest and Investment Income;27.9;89.2;51.5;74.3;None;
NET INTEREST EXPENSE;-26.3;8.8;-47.9;-46.6;None;
Income (Loss) on Equity Investments;199.9;51.1;63.1;39.7;None;
Currency Exchange Gains (Loss);-5.1;-7.0;-10.0;-42.7;None;
Other Non-Operating Income (Expenses);45.0;4.9;7.7;8.0;None;
EBT EXCLUDING UNUSUAL ITEMS;449.8;348.5;404.4;548.6;None;
Gain (Loss) on Sale of Investments;-0.5;140.7;574.8;107.9;None;
Gain (Loss) on Sale of Assets;3.0;-0.3;1.1;-0.5;None;
EBT INCLUDING UNUSUAL ITEMS;452.3;489.0;980.3;656.0;None;
Income Tax Expense;94.5;111.4;175.9;211.2;None;
Minority Interest in Earnings;-40.9;-57.0;-143.6;-179.7;None;
Earnings from Continuing Operations;357.8;377.7;804.4;444.8;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;--;8.3;5.0;None;
NET INCOME;316.9;320.7;669.0;270.1;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;316.9;320.7;669.0;270.1;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;316.9;320.7;660.7;265.1;None;
