Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;225.0;244.1;243.5;190.6;None;
Short-Term Investments;6.9;6.9;7.7;6.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;231.9;251.0;251.2;196.9;None;
Accounts Receivable;812.1;877.7;939.8;991.5;None;
Other Receivables;134.1;127.7;167.0;159.0;None;
TOTAL RECEIVABLES;946.2;1005.4;1106.8;1150.5;None;
Inventory;4.8;5.3;8.7;12.7;None;
Other Current Assets;--;0.1;8.0;0.6;None;
TOTAL CURRENT ASSETS;1182.9;1261.8;1374.7;1360.7;None;
Gross Property Plant and Equipment;708.1;807.6;915.2;980.7;None;
Accumulated Depreciation;-427.0;-488.0;-535.8;-579.4;None;
NET PROPERTY PLANT AND EQUIPMENT;281.1;319.6;379.4;401.3;None;
Goodwill;1329.3;1378.3;1486.3;1412.1;None;
Long-Term Investments;13.2;13.3;9.3;8.9;None;
Deferred Tax Assets Long Term;74.2;91.9;110.4;122.2;None;
Other Intangibles;330.4;333.0;385.4;374.5;None;
Other Long-Term Assets;61.5;79.7;59.5;37.4;None;
TOTAL ASSETS;3272.6;3477.6;3805.0;3717.1;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;225.0;228.4;240.7;232.3;None;
Accrued Expenses;383.4;380.4;411.0;416.4;None;
Short-Term Borrowings;23.6;13.2;8.7;32.9;None;
Current Portion of Long-Term Debt/Capital Lease;98.1;253.0;119.6;71.3;None;
Current Income Taxes Payable;81.4;84.8;75.8;80.9;None;
Other Current Liabilities Total;40.8;73.3;109.8;98.8;None;
Unearned Revenue Current;90.6;86.5;78.3;88.2;None;
TOTAL CURRENT LIABILITIES;942.9;1119.6;1043.9;1020.8;None;
Long-Term Debt;1186.0;999.4;1282.7;1407.1;None;
Minority Interest;15.5;18.8;23.3;26.0;None;
Pension & Other Post-Retirement Benefits;102.7;104.8;124.6;125.6;None;
Deferred Tax Liability Non-Current;59.9;66.3;89.6;85.8;None;
Other Non-Current Liabilities;121.2;103.3;96.4;95.7;None;
TOTAL LIABILITIES;2412.7;2393.4;2637.2;2735.0;None;
Common Stock;13.1;13.3;13.3;53.0;None;
Retained Earnings;--;1052.1;1131.2;903.1;None;
Comprehensive Income and Other;831.3;--;--;--;None;
TOTAL COMMON EQUITY;844.4;1065.4;1144.5;956.1;None;
TOTAL EQUITY;859.9;1084.2;1167.8;982.1;None;
TOTAL LIABILITIES AND EQUITY;3272.6;3477.6;3805.0;3717.1;None;
