Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;2929.7;3358.6;3902.3;3933.1;None;
TOTAL REVENUES;2929.7;3358.6;3902.3;3933.1;None;
Cost of Goods Sold;2223.0;2278.1;2633.0;2643.5;None;
GROSS PROFIT;706.7;1080.5;1269.3;1289.6;None;
Selling General & Admin Expenses Total;104.9;115.8;125.8;124.5;None;
Depreciation & Amortization Total;89.1;112.3;142.6;149.4;None;
Other Operating Expenses;57.0;369.6;421.1;416.3;None;
OTHER OPERATING EXPENSES TOTAL;251.0;597.7;689.5;690.2;None;
OPERATING INCOME;455.7;482.8;579.8;599.4;None;
Interest Expense;-38.4;-43.7;-55.8;-62.7;None;
Interest and Investment Income;1.9;2.0;2.1;2.2;None;
NET INTEREST EXPENSE;-36.5;-41.7;-53.7;-60.5;None;
Income (Loss) on Equity Investments;-0.1;0.3;--;--;None;
Currency Exchange Gains (Loss);2.3;-8.0;-7.1;1.9;None;
Other Non-Operating Income (Expenses);-6.4;0.1;-3.7;-2.2;None;
EBT EXCLUDING UNUSUAL ITEMS;415.0;433.5;515.3;538.6;None;
Merger & Restructuring Charges;--;-2.5;-7.4;-19.3;None;
Impairment of Goodwill;-1.8;-16.1;-25.3;--;None;
Gain (Loss) on Sale of Assets;-2.7;-2.7;-33.6;2.5;None;
Other Unusual Items Total;--;10.0;--;3.8;None;
Insurance Settlements;--;4.1;--;3.8;None;
Other Unusual Items;--;6.5;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;410.5;422.2;449.0;525.6;None;
Income Tax Expense;112.9;116.9;141.8;169.1;None;
Minority Interest in Earnings;-7.2;-7.7;-9.6;-11.4;None;
Earnings from Continuing Operations;297.6;305.3;307.2;356.5;None;
NET INCOME;290.4;297.6;297.6;345.1;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;290.4;297.6;297.6;345.1;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;290.4;297.6;297.6;345.1;None;
