Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;3271.0;3849.0;6573.0;4757.0;None;
Short-Term Investments;1798.0;864.0;306.0;222.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;5069.0;4713.0;6879.0;4979.0;None;
Accounts Receivable;5999.0;6166.0;5430.0;5434.0;None;
Notes Receivable;55.0;28.0;52.0;69.0;None;
Other Receivables;1231.0;1066.0;950.0;1190.0;None;
TOTAL RECEIVABLES;7285.0;7260.0;6432.0;6693.0;None;
Inventory;6994.0;6848.0;5658.0;5738.0;None;
Prepaid Expenses;378.0;343.0;307.0;297.0;None;
Other Current Assets;484.0;90.0;511.0;438.0;None;
TOTAL CURRENT ASSETS;20210.0;19254.0;19787.0;18145.0;None;
Gross Property Plant and Equipment;33233.0;30337.0;27407.0;26580.0;None;
Accumulated Depreciation;-17936.0;-16566.0;-15898.0;-15471.0;None;
NET PROPERTY PLANT AND EQUIPMENT;15297.0;13771.0;11509.0;11109.0;None;
Goodwill;11829.0;8740.0;8608.0;8277.0;None;
Long-Term Investments;1488.0;1423.0;1508.0;1638.0;None;
Accounts Receivable Long Term;2112.0;2236.0;2360.0;2381.0;None;
Loans Receivable Long Term;310.0;290.0;1.0;4.0;None;
Deferred Tax Assets Long Term;766.0;745.0;919.0;931.0;None;
Other Intangibles;1101.0;966.0;801.0;767.0;None;
Other Long-Term Assets;537.0;506.0;513.0;312.0;None;
TOTAL ASSETS;53650.0;47931.0;46006.0;43564.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;16796.0;15362.0;12925.0;12854.0;None;
Accrued Expenses;1702.0;1615.0;1633.0;1696.0;None;
Short-Term Borrowings;500.0;250.0;--;--;None;
Current Portion of Long-Term Debt/Capital Lease;2215.0;1909.0;2263.0;1683.0;None;
Current Income Taxes Payable;1298.0;1319.0;1040.0;1045.0;None;
Other Current Liabilities Total;5911.0;5579.0;4029.0;4158.0;None;
Unearned Revenue Current;59.0;72.0;65.0;77.0;None;
TOTAL CURRENT LIABILITIES;28481.0;26106.0;21955.0;21513.0;None;
Long-Term Debt;10365.0;9513.0;8983.0;7550.0;None;
Minority Interest;979.0;1009.0;866.0;754.0;None;
Pension & Other Post-Retirement Benefits;734.0;777.0;1256.0;1272.0;None;
Deferred Tax Liability Non-Current;560.0;586.0;580.0;521.0;None;
Other Non-Current Liabilities;2947.0;3322.0;5185.0;4110.0;None;
TOTAL LIABILITIES;43087.0;40304.0;37959.0;34966.0;None;
Common Stock;1698.0;1698.0;1773.0;1810.0;None;
Comprehensive Income and Other;7886.0;4920.0;5408.0;6034.0;None;
TOTAL COMMON EQUITY;9584.0;6618.0;7181.0;7844.0;None;
TOTAL EQUITY;10563.0;7627.0;8047.0;8598.0;None;
TOTAL LIABILITIES AND EQUITY;53650.0;47931.0;46006.0;43564.0;None;
