Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;79737.0;75257.0;75020.0;74300.0;None;
Other Revenues;--;469.0;501.0;509.0;None;
TOTAL REVENUES;79737.0;75726.0;75521.0;74809.0;None;
Cost of Goods Sold;64719.0;61378.0;61352.0;60525.0;None;
GROSS PROFIT;15018.0;14348.0;14169.0;14284.0;None;
Selling General & Admin Expenses Total;12289.0;11840.0;11864.0;11969.0;None;
Depreciation & Amortization Total;1675.0;1552.0;1518.0;1432.0;None;
Other Operating Expenses;7.0;92.0;78.0;104.0;None;
OTHER OPERATING EXPENSES TOTAL;13971.0;13484.0;13460.0;13505.0;None;
OPERATING INCOME;1047.0;864.0;709.0;779.0;None;
Interest Expense;-552.0;-515.0;-532.0;-476.0;None;
Interest and Investment Income;68.0;61.0;55.0;51.0;None;
NET INTEREST EXPENSE;-484.0;-454.0;-477.0;-425.0;None;
Income (Loss) on Equity Investments;34.0;64.0;72.0;30.0;None;
Currency Exchange Gains (Loss);-2.0;-14.0;-9.0;-20.0;None;
Other Non-Operating Income (Expenses);1499.0;1225.0;1311.0;1366.0;None;
EBT EXCLUDING UNUSUAL ITEMS;2094.0;1685.0;1606.0;1730.0;None;
Merger & Restructuring Charges;-346.0;-205.0;-287.0;-52.0;None;
Impairment of Goodwill;--;-1778.0;-18.0;-16.0;None;
Gain (Loss) on Sale of Investments;28.0;6.0;7.0;4.0;None;
Other Unusual Items Total;-688.0;-489.0;-655.0;23.0;None;
Legal Settlements;-35.0;-306.0;-84.0;-70.0;None;
Other Unusual Items;-518.0;35.0;-356.0;205.0;None;
EBT INCLUDING UNUSUAL ITEMS;1088.0;-781.0;653.0;1689.0;None;
Income Tax Expense;610.0;931.0;380.0;631.0;None;
Minority Interest in Earnings;-135.0;-33.0;-83.0;-101.0;None;
Earnings from Continuing Operations;478.0;-1712.0;273.0;1058.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;90.0;2116.0;1069.0;306.0;None;
NET INCOME;433.0;371.0;1259.0;1263.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;433.0;371.0;1259.0;1263.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;343.0;-1745.0;190.0;957.0;None;
