,ABBFR,BFR,CAC1,CAC2,EBFR,MARGE,ROA,VMARGE,XCAC2012
ACCOR,-0.09531889816810345,-0.2064814814814815,E&Y,Deloitte,-0.10561492257343551,-0.10603646663126216,-0.07923280423280424,-0.11081607364135246,0.42574257425742573
AIRLIQUIDE,-0.00024346444872621573,-0.03814675766553519,E&Y,Mazars,-0.03791193619354445,0.1029118803684156,0.0636152459088492,0.0036349994825623398,0.57657421943136222
AIRBUSGROUP*,0.015028786330983562,-0.15391713073023525,KPMG,E&Y,-0.16835224402837667,0.021193342776203966,0.012993779919887974,0.0038420679886685552,0.5138115573814801
ALCATELLUCENT,-0.04523812175779701,-0.10841060222909057,Deloitte,E&Y,-0.0571517470238992,-0.13917918195030798,-0.0941743935562424,-0.18485708353519276,0.50138880316029866
ALSTOM,0.01707507863175755,-0.12004380455438529,PWC,Mazars,-0.13634121831722457,0.03672117989364904,0.02357715721325732,0.013544697501755795,0.65740740740740733
AXA,0.01480373964651162,-0.08161976840950198,PWC,Mazars,-0.0957500684978406,0.03373019172250952,0.005325111371875747,-0.0011057716290593458,0.78570847733279126
BOUYGUES,-0.010724075520358721,-0.12393208902432389,Mazars,E&Y,-0.1137425541350066,0.018809056872882868,0.01722261522555368,-0.012985083496761158,0.57630807869401424
CAPGEMINI,0.04211586366422406,-0.03444069069069069,KPMG,PWC,-0.07800705378854558,0.034392049883086515,0.033126876876876876,-0.003994544037412315,0.4623022029165374
CREDITAGRICOLE,-0.1200134633724596,-0.45712918465045455,E&Y,PWC,-0.32923722427600943,-0.5140811071773415,-0.003950096109319173,-0.395799806887673,0.49175979811505383
DANONE,-0.05217984819675933,-0.12844906388597352,PWC,E&Y,-0.0782319001645028,0.08011883655182328,0.05660696753224769,4.7917964444870383e-05,0.58260869565217388
EDF,-0.028300087528573048,-0.0411381775723357,Deloitte,KPMG,-0.01488881774402656,0.045373936656598966,0.013095599878440844,0.001759538917675746,0.51170232217955747
ESSILOR,0.03413966466201,0.0529897205733314,PWC,Mazars,0.022551196913046183,0.11705752655842855,0.08455190386564355,0.015714572058528758,0.5485253772290809
KERING,-0.013785079903135693,-0.0044107457486191525,KPMG,Deloitte,0.0092091195093092,0.10765896695870096,0.041502187555678735,0.006357651263827131,0.35915245296289788
L'OREAL,0.011823210605669461,0.00127662888703022,PWC,Deloitte,-0.009478641629797968,0.1276649734893846,0.09710845250229419,0.019111682923246078,0.52469135802469136
LAFARGE,0.002414303753675937,-0.019587472126495035,Deloitte,E&Y,-0.022078553480284067,0.02307789580171978,0.009248935738901277,-0.014415781487101669,0.52482269503546097
LEGRAND,0.021697853751861507,0.023872836663447975,PWC,Deloitte,0.0024199560802920265,0.11319318512548415,0.07510955953353636,0.006044731009470079,0.41498771498771497
LVMH,0.004471184494410639,0.08204328173126925,E&Y,Deloitte,0.07783009490209271,0.12183752624274989,0.06848273930957238,0.012774436892858414,0.66269672479795827
MICHELIN,0.0029823826357055962,0.13705936920222633,PWC,Deloitte,0.13416994394737392,0.06938623451615908,0.06910946196660482,0.001303902393592251,0.58578575632725138
ORANGE,0.0002823138374017812,-0.18657479439875527,Deloitte,E&Y,-0.18687625650632447,0.018844076755141905,0.009113136252500556,-0.07066528783178215,0.46012269938650302
PERNODRICARD,-0.00835980397820992,0.085568281938326,Mazars,Deloitte,0.09314646265823844,0.1395009129640901,0.04038766519823789,0.012294583079732198,0.46994750656167983
PUBLICIS,0.039235041788086934,-0.16338452273411622,E&Y,Mazars,-0.202253323541947,0.11074130105900151,0.04408310749774164,0.020574886535552193,0.60360360360360354
RENAULT,-0.02465785482573797,-0.12475137242421831,E&Y,Deloitte,-0.10090439462353976,0.0429367579355464,0.02349696342854112,-0.007753816331475648,0.43522483940042822
SAFRAN,0.053953230967309536,-0.01275854561288918,E&Y,Mazars,-0.06139515730395132,0.09285817760394031,0.05582408012192467,0.05823554976097349,0.48351648351648346
SANOFI,-0.013198318254606475,0.027676801880309534,PWC,E&Y,0.040909690319869164,0.13596796173206885,0.04869085440548158,-0.02105292432627861,0.51376146788990829
SCHNEIDER,-0.026251563466764074,0.0370954356846473,Mazars,E&Y,0.06311316779771019,0.07571201870876137,0.050152143845089904,0.0008352125615969264,0.40870667793744714
SOCIETEGENERALE,-0.061476540149112816,-0.32372736509794237,E&Y,Deloitte,-0.26566732684591704,0.03281139676870042,0.000631550841041851,-0.06624579474186984,0.51110369938019395
TECHNIP,0.11520061538487239,-0.17834038746085823,E&Y,PWC,-0.2949888891803139,0.06622460049488657,0.04673789614947868,0.004388156852228812,0.55813204508856673
TOTAL,-0.005814720999547119,0.04838106807456898,KPMG,E&Y,0.0539404458559014,0.058195601731221784,0.0619597719945802,-0.00932533914064257,0.47382198952879584
UNIBAILRODAMCO,0.010709756989213693,-0.05102827021834831,E&Y,Deloitte,-0.06062612395970775,0.8799469111969112,0.04950767256916513,0.08083976833976834,0.625
VALLOUREC,0.027931355689148545,0.06564153618075769,KPMG,Deloitte,0.03785012289764388,0.04153210664663912,0.02393654435078075,-0.03385279759669546,0.39597069597069595
VEOLIA,0.025109840278814806,-0.06780207242305077,KPMG,E&Y,-0.09460253461659054,0.017384643851473175,0.010499860954811613,0.03838821975222579,0.53003533568904593
VINCI,0.00574784777191702,-0.14306604923226907,Deloitte,KPMG,-0.1487233248574771,0.04867706058605454,0.031147940531318547,0.00032248235234371146,0.50282485875706207
VIVENDI,-0.010090805821196437,-0.11795138830564561,E&Y,KPMG,-0.108507053070545,0.00792842273109802,0.0030067357599986564,-0.11082074677769412,0.4452054794520548
