Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;2305.0;2223.0;2023.0;1638.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2305.0;2223.0;2023.0;1638.0;None;
Accounts Receivable;1550.0;1814.0;1638.0;1723.0;None;
Other Receivables;1026.0;1130.0;1163.0;1130.0;None;
TOTAL RECEIVABLES;2576.0;2944.0;2801.0;2853.0;None;
Prepaid Expenses;119.0;154.0;152.0;168.0;None;
Other Current Assets;93.0;85.0;81.0;80.0;None;
TOTAL CURRENT ASSETS;5093.0;5406.0;5057.0;4739.0;None;
Gross Property Plant and Equipment;1226.0;1394.0;1425.0;1310.0;None;
Accumulated Depreciation;-727.0;-847.0;-883.0;-816.0;None;
NET PROPERTY PLANT AND EQUIPMENT;499.0;547.0;542.0;494.0;None;
Goodwill;3201.0;3768.0;3702.0;3601.0;None;
Long-Term Investments;1.0;--;--;--;None;
Deferred Tax Assets Long Term;891.0;1029.0;1065.0;1023.0;None;
Other Intangibles;169.0;154.0;192.0;166.0;None;
Other Long-Term Assets;114.0;119.0;98.0;153.0;None;
TOTAL ASSETS;9968.0;11023.0;10656.0;10176.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;957.0;944.0;921.0;920.0;None;
Accrued Expenses;1350.0;1398.0;1420.0;1370.0;None;
Short-Term Borrowings;6.0;9.0;6.0;9.0;None;
Current Portion of Long-Term Debt/Capital Lease;204.0;693.0;93.0;124.0;None;
Current Portion of Capital Lease Obligations;51.0;51.0;54.0;50.0;None;
Current Income Taxes Payable;61.0;89.0;95.0;58.0;None;
Other Current Liabilities Total;131.0;183.0;248.0;209.0;None;
Unearned Revenue Current;576.0;661.0;624.0;684.0;None;
TOTAL CURRENT LIABILITIES;3285.0;3977.0;3407.0;3374.0;None;
Long-Term Debt;1016.0;1054.0;1055.0;849.0;None;
Capital Leases;88.0;96.0;76.0;57.0;None;
Minority Interest;-7.0;27.0;36.0;33.0;None;
Pension & Other Post-Retirement Benefits;804.0;1125.0;1202.0;962.0;None;
Deferred Tax Liability Non-Current;178.0;183.0;163.0;158.0;None;
Other Non-Current Liabilities;290.0;322.0;235.0;285.0;None;
TOTAL LIABILITIES;5661.0;6757.0;6138.0;5685.0;None;
Common Stock;1246.0;1246.0;1294.0;1283.0;None;
Additional Paid in Capital;2875.0;2875.0;2976.0;2930.0;None;
Retained Earnings;351.0;869.0;1041.0;1242.0;None;
Treasury Stock;-81.0;-77.0;-92.0;-9.0;None;
Comprehensive Income and Other;-77.0;-674.0;-737.0;-988.0;None;
TOTAL COMMON EQUITY;4314.0;4239.0;4482.0;4458.0;None;
TOTAL EQUITY;4307.0;4266.0;4518.0;4491.0;None;
TOTAL LIABILITIES AND EQUITY;9968.0;11023.0;10656.0;10176.0;None;
