Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;8697.0;9693.0;10264.0;10092.0;None;
TOTAL REVENUES;8697.0;9693.0;10264.0;10092.0;None;
Cost of Goods Sold;6631.0;7395.0;7842.0;7636.0;None;
GROSS PROFIT;2066.0;2298.0;2422.0;2456.0;None;
Selling General & Admin Expenses Total;1523.0;1615.0;1664.0;1664.0;None;
Depreciation & Amortization Total;--;25.0;37.0;30.0;None;
Other Operating Expenses;-4.0;4.0;-11.0;14.0;None;
OTHER OPERATING EXPENSES TOTAL;1519.0;1644.0;1690.0;1708.0;None;
OPERATING INCOME;547.0;654.0;732.0;748.0;None;
Interest Expense;-74.0;-88.0;-80.0;-72.0;None;
Interest and Investment Income;20.0;23.0;25.0;25.0;None;
NET INTEREST EXPENSE;-54.0;-65.0;-55.0;-47.0;None;
Income (Loss) on Equity Investments;--;--;-1.0;-1.0;None;
Currency Exchange Gains (Loss);0.0;-2.0;-2.0;-6.0;None;
Other Non-Operating Income (Expenses);-5.0;-13.0;-17.0;-7.0;None;
EBT EXCLUDING UNUSUAL ITEMS;488.0;574.0;657.0;687.0;None;
Merger & Restructuring Charges;-86.0;-97.0;-179.0;-70.0;None;
EBT INCLUDING UNUSUAL ITEMS;402.0;477.0;478.0;617.0;None;
Income Tax Expense;124.0;98.0;135.0;182.0;None;
Minority Interest in Earnings;2.0;15.0;10.0;7.0;None;
Earnings from Continuing Operations;278.0;379.0;343.0;435.0;None;
NET INCOME;280.0;394.0;353.0;442.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;280.0;394.0;353.0;442.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;280.0;394.0;353.0;442.0;None;
