Millions of US Dollars;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;448.8;531.4;1520.2;530.0;None;
Short-Term Investments;1.6;3.5;3.0;1.8;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;450.4;534.9;1523.2;531.8;None;
Accounts Receivable;928.5;876.0;888.7;987.4;None;
Other Receivables;196.8;207.4;183.3;209.4;None;
TOTAL RECEIVABLES;1125.3;1083.4;1072.0;1196.8;None;
Inventory;353.4;361.5;419.2;505.2;None;
Prepaid Expenses;46.4;26.5;25.8;25.6;None;
Restricted Cash;--;--;--;4.8;None;
Other Current Assets;127.7;103.5;433.1;89.8;None;
TOTAL CURRENT ASSETS;2103.2;2109.8;3473.3;2354.0;None;
Gross Property Plant and Equipment;--;--;2294.3;3081.1;None;
Accumulated Depreciation;--;--;-1134.8;-1523.3;None;
NET PROPERTY PLANT AND EQUIPMENT;1045.6;1183.2;1159.5;1557.8;None;
Goodwill;2688.5;2688.2;2415.5;2483.2;None;
Long-Term Investments;104.9;138.4;131.8;334.3;None;
Loans Receivable Long Term;11.3;3.0;30.5;26.5;None;
Deferred Tax Assets Long Term;180.9;188.8;171.4;222.6;None;
Deferred Charges Long Term;78.8;86.6;96.2;205.3;None;
Other Intangibles;885.1;778.5;838.7;1066.3;None;
Other Long-Term Assets;17.9;15.0;15.9;12.8;None;
TOTAL ASSETS;7116.2;7191.5;8332.8;8262.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;394.8;386.4;505.5;557.6;None;
Accrued Expenses;220.2;250.0;285.5;340.2;None;
Short-Term Borrowings;6.1;6.0;4.2;4.5;None;
Current Portion of Long-Term Debt/Capital Lease;99.5;64.5;47.8;247.0;None;
Current Portion of Capital Lease Obligations;--;--;16.4;9.0;None;
Current Income Taxes Payable;82.9;159.7;97.0;73.9;None;
Other Current Liabilities Total;101.5;97.2;106.3;158.6;None;
Unearned Revenue Current;177.2;196.4;175.3;161.7;None;
TOTAL CURRENT LIABILITIES;1082.2;1160.2;1221.6;1543.5;None;
Long-Term Debt;1879.5;1871.6;2138.7;2383.9;None;
Capital Leases;--;--;114.5;112.2;None;
Minority Interest;77.1;87.1;98.7;90.2;None;
Unearned Revenue Non-Current;7.1;6.7;5.5;4.2;None;
Pension & Other Post-Retirement Benefits;--;--;73.2;83.6;None;
Deferred Tax Liability Non-Current;155.9;104.4;106.0;148.9;None;
Other Non-Current Liabilities;156.4;166.9;91.4;96.4;None;
TOTAL LIABILITIES;3281.1;3309.8;3750.9;4372.7;None;
Common Stock;79.6;79.8;92.4;92.7;None;
Additional Paid in Capital;2666.3;2669.3;3179.1;3180.4;None;
Retained Earnings;1052.6;1120.4;1265.8;575.1;None;
Treasury Stock;-20.6;-20.6;-20.6;-20.6;None;
Comprehensive Income and Other;-19.9;-54.3;-33.5;-27.7;None;
TOTAL COMMON EQUITY;3758.0;3794.6;4483.2;3799.9;None;
TOTAL EQUITY;3835.1;3881.7;4581.9;3890.1;None;
TOTAL LIABILITIES AND EQUITY;7116.2;7191.5;8332.8;8262.8;None;
