Millions of US Dollars;2010;2011;2012;2013;Trend;
Revenues;2904.3;3180.9;3410.5;3765.8;None;
TOTAL REVENUES;2904.3;3180.9;3410.5;3765.8;None;
Cost of Goods Sold;2321.8;2649.4;2685.4;2977.2;None;
GROSS PROFIT;582.5;531.5;725.1;788.6;None;
Selling General & Admin Expenses Total;305.7;284.9;278.6;334.5;None;
R&D Expenses;75.7;77.0;92.8;105.9;None;
Other Operating Expenses;-4.3;-3.3;7.0;11.9;None;
OTHER OPERATING EXPENSES TOTAL;377.1;358.6;378.4;452.3;None;
OPERATING INCOME;205.4;172.9;346.7;336.3;None;
Interest Expense;-143.3;-177.2;-159.0;-193.3;None;
Interest and Investment Income;3.2;2.7;2.3;1.6;None;
NET INTEREST EXPENSE;-140.1;-174.5;-156.7;-191.7;None;
Income (Loss) on Equity Investments;-1.0;16.4;37.4;0.6;None;
Currency Exchange Gains (Loss);10.2;26.7;1.5;-2.7;None;
Other Non-Operating Income (Expenses);-2.6;-21.1;-20.4;-11.8;None;
EBT EXCLUDING UNUSUAL ITEMS;71.9;20.4;208.5;130.7;None;
Merger & Restructuring Charges;-119.6;2.6;-0.8;-648.6;None;
Impairment of Goodwill;--;--;--;-58.0;None;
Gain (Loss) on Sale of Investments;--;--;15.0;19.8;None;
Gain (Loss) on Sale of Assets;--;26.1;5.0;84.5;None;
Other Unusual Items Total;5.2;0.8;-36.1;-136.7;None;
Insurance Settlements;--;4.2;--;--;None;
Other Unusual Items;-18.2;-3.4;-6.1;-6.7;None;
EBT INCLUDING UNUSUAL ITEMS;-42.5;49.9;191.6;-608.3;None;
Income Tax Expense;17.9;63.1;99.2;82.9;None;
Minority Interest in Earnings;-14.1;-13.9;-17.2;-7.6;None;
Earnings from Continuing Operations;-60.4;-13.2;92.4;-691.2;None;
NET INCOME;-74.5;-27.1;75.2;-698.8;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-74.5;-27.1;75.2;-698.8;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-74.5;-27.1;75.2;-698.8;None;
