Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;787.5;10093.7;11097.9;10211.1;None;
Trading Asset Securities;64033.1;51014.0;55349.5;56397.9;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;72783.8;76477.7;75745.8;73438.7;None;
Other Receivables;5475.9;6531.4;8177.9;7686.2;None;
TOTAL RECEIVABLES;5475.9;6531.4;8177.9;7686.2;None;
Other Current Assets;3012.8;3585.0;4340.8;5855.1;None;
TOTAL CURRENT ASSETS;88797.4;94940.1;97283.4;96790.9;None;
NET PROPERTY PLANT AND EQUIPMENT;252.7;252.4;264.4;349.5;None;
Goodwill;682.5;533.9;334.2;258.9;None;
Deferred Tax Assets Long Term;198.6;244.1;169.6;265.0;None;
Other Intangibles;368.0;270.7;209.6;200.3;None;
Other Long-Term Assets;1636.0;2792.7;2987.9;3049.3;None;
TOTAL ASSETS;319608.6;321010.6;353215.8;365983.7;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accrued Expenses;970.5;1141.7;886.7;1254.8;None;
Current Income Taxes Payable;347.5;391.0;355.2;260.4;None;
Other Current Liabilities Total;381.3;738.0;161.6;259.4;None;
TOTAL CURRENT LIABILITIES;8012.4;279515.2;284330.3;293082.9;None;
Long-Term Debt;6517.5;5778.0;7282.7;11901.0;None;
Minority Interest;1136.4;1223.1;1441.1;1367.4;None;
Pension & Other Post-Retirement Benefits;--;--;313.0;339.1;None;
Deferred Tax Liability Non-Current;513.9;286.6;1092.7;1151.1;None;
Other Non-Current Liabilities;7613.7;6275.9;9540.0;11448.7;None;
TOTAL LIABILITIES;306430.5;307793.5;337627.8;349990.0;None;
Common Stock;594.2;594.2;643.5;686.6;None;
Additional Paid in Capital;981.5;981.5;1321.0;1716.8;None;
Retained Earnings;6849.8;7209.3;7624.3;8106.4;None;
Comprehensive Income and Other;3616.2;3209.0;4558.1;4116.5;None;
TOTAL COMMON EQUITY;12041.7;11994.0;14146.9;14626.3;None;
TOTAL EQUITY;13178.1;13217.1;15588.0;15993.7;None;
TOTAL LIABILITIES AND EQUITY;319608.6;321010.6;353215.8;365983.7;None;
