Millions of Euros;2010;2011;2012;2013;Trend;
Other Revenues;198.9;226.0;200.5;126.3;None;
TOTAL REVENUES;44262.9;36577.2;42312.7;41816.3;None;
Cost of Goods Sold;42401.2;34226.9;39228.4;38820.1;None;
GROSS PROFIT;1861.7;2350.3;3084.3;2996.2;None;
Selling General & Admin Expenses Total;373.2;204.5;204.8;202.8;None;
Other Operating Expenses;60.3;308.9;399.5;554.0;None;
OTHER OPERATING EXPENSES TOTAL;433.5;513.4;604.3;756.8;None;
OPERATING INCOME;1428.2;1836.9;2480.0;2239.4;None;
Interest Expense;-95.0;-149.9;-157.2;-154.9;None;
Income (Loss) on Equity Investments;--;--;--;2.6;None;
Other Non-Operating Income (Expenses);--;--;-0.1;--;None;
Impairment of Goodwill;--;-79.8;-169.7;-54.9;None;
Other Unusual Items Total;-22.3;-1.2;0.9;-12.4;None;
Other Unusual Items;-2.9;-1.2;0.9;-12.4;None;
EBT INCLUDING UNUSUAL ITEMS;1310.9;1606.0;2153.9;2019.8;None;
Income Tax Expense;22.8;465.0;895.5;696.7;None;
Minority Interest in Earnings;-238.1;-269.1;-307.0;-292.9;None;
Earnings from Continuing Operations;1288.1;1141.0;1258.4;1323.1;None;
NET INCOME;1050.0;871.9;951.4;1030.2;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;989.4;812.6;893.5;973.9;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;989.4;812.6;893.5;973.9;None;
