Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;2813.0;3901.0;6303.0;5433.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2813.0;3901.0;6303.0;5433.0;None;
Accounts Receivable;1744.0;1869.0;1734.0;1510.0;None;
Other Receivables;1585.0;1510.0;1398.0;1353.0;None;
TOTAL RECEIVABLES;3329.0;3379.0;3132.0;2863.0;None;
Inventory;2892.0;3381.0;4727.0;4693.0;None;
Prepaid Expenses;--;121.0;130.0;128.0;None;
Other Current Assets;368.0;220.0;1698.0;347.0;None;
TOTAL CURRENT ASSETS;9402.0;11002.0;15990.0;13464.0;None;
Gross Property Plant and Equipment;10685.0;11664.0;14956.0;16621.0;None;
Accumulated Depreciation;-4511.0;-5001.0;-6331.0;-7151.0;None;
NET PROPERTY PLANT AND EQUIPMENT;6174.0;6663.0;8625.0;9470.0;None;
Goodwill;6655.0;7955.0;10909.0;10791.0;None;
Long-Term Investments;281.0;254.0;382.0;883.0;None;
Loans Receivable Long Term;108.0;70.0;115.0;79.0;None;
Deferred Tax Assets Long Term;119.0;377.0;865.0;425.0;None;
Other Intangibles;1091.0;1211.0;3884.0;4100.0;None;
Other Long-Term Assets;1963.0;2240.0;2301.0;1956.0;None;
TOTAL ASSETS;25793.0;29772.0;43071.0;41168.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;4822.0;5400.0;6655.0;7016.0;None;
Accrued Expenses;1261.0;1438.0;1773.0;1830.0;None;
Short-Term Borrowings;939.0;--;--;--;None;
Current Portion of Long-Term Debt/Capital Lease;1754.0;3167.0;2786.0;2623.0;None;
Current Portion of Capital Lease Obligations;43.0;41.0;46.0;29.0;None;
Current Income Taxes Payable;62.0;61.0;118.0;155.0;None;
Other Current Liabilities Total;1205.0;2318.0;3772.0;2562.0;None;
Unearned Revenue Current;165.0;88.0;133.0;64.0;None;
TOTAL CURRENT LIABILITIES;10208.0;12472.0;15237.0;14250.0;None;
Long-Term Debt;5486.0;6362.0;9325.0;8448.0;None;
Capital Leases;63.0;61.0;69.0;68.0;None;
Minority Interest;2019.0;2604.0;7694.0;7751.0;None;
Unearned Revenue Non-Current;--;90.0;191.0;153.0;None;
Deferred Tax Liability Non-Current;444.0;697.0;1364.0;1406.0;None;
Other Non-Current Liabilities;543.0;707.0;1684.0;1417.0;None;
TOTAL LIABILITIES;16744.0;20389.0;27870.0;25742.0;None;
Common Stock;169.0;169.0;172.0;173.0;None;
Additional Paid in Capital;--;--;4075.0;4088.0;None;
Retained Earnings;533.0;568.0;2648.0;2886.0;None;
Treasury Stock;--;--;-4.0;-1.0;None;
Comprehensive Income and Other;6328.0;6042.0;616.0;529.0;None;
TOTAL COMMON EQUITY;7030.0;6779.0;7507.0;7675.0;None;
TOTAL EQUITY;9049.0;9383.0;15201.0;15426.0;None;
TOTAL LIABILITIES AND EQUITY;25793.0;29772.0;43071.0;41168.0;None;
