Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;29078.0;34361.0;41971.0;48645.0;None;
TOTAL REVENUES;29078.0;34361.0;41971.0;48645.0;None;
Cost of Goods Sold;21753.0;25407.0;31126.0;36200.0;None;
GROSS PROFIT;7325.0;8954.0;10845.0;12445.0;None;
Selling General & Admin Expenses Total;6436.0;7781.0;9164.0;10406.0;None;
Other Operating Expenses;-302.0;-375.0;-303.0;-266.0;None;
OTHER OPERATING EXPENSES TOTAL;6134.0;7406.0;8861.0;10140.0;None;
OPERATING INCOME;1191.0;1548.0;1984.0;2305.0;None;
Interest Expense;-385.0;-557.0;-670.0;-814.0;None;
Interest and Investment Income;40.0;86.0;153.0;180.0;None;
NET INTEREST EXPENSE;-345.0;-471.0;-517.0;-634.0;None;
Income (Loss) on Equity Investments;13.0;-7.0;-21.0;21.0;None;
Currency Exchange Gains (Loss);5.0;-10.0;-1.0;-8.0;None;
Other Non-Operating Income (Expenses);-23.0;65.0;-37.0;-13.0;None;
EBT EXCLUDING UNUSUAL ITEMS;841.0;1125.0;1408.0;1671.0;None;
Merger & Restructuring Charges;-134.0;-155.0;-295.0;-148.0;None;
Impairment of Goodwill;51.0;-3.0;-73.0;-2.0;None;
Gain (Loss) on Sale of Investments;24.0;72.0;927.0;-61.0;None;
Gain (Loss) on Sale of Assets;290.0;69.0;110.0;606.0;None;
Other Unusual Items Total;-123.0;-129.0;-220.0;-140.0;None;
Legal Settlements;-112.0;-19.0;-68.0;-86.0;None;
Other Unusual Items;--;-116.0;-137.0;--;None;
EBT INCLUDING UNUSUAL ITEMS;949.0;979.0;1857.0;1926.0;None;
Income Tax Expense;214.0;228.0;323.0;401.0;None;
Minority Interest in Earnings;-193.0;-174.0;-470.0;-672.0;None;
Earnings from Continuing Operations;735.0;751.0;1534.0;1525.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-9.0;-9.0;-2.0;-2.0;None;
NET INCOME;533.0;568.0;1062.0;851.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;518.0;549.0;1053.0;833.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;527.0;558.0;1055.0;835.0;None;
