Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;22095.0;31072.0;30546.0;21588.0;None;
Trading Asset Securities;604.0;626.0;810.0;807.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;22699.0;31698.0;31356.0;22395.0;None;
Other Receivables;27786.0;25127.0;26086.0;24014.0;None;
TOTAL RECEIVABLES;27786.0;25127.0;26086.0;24014.0;None;
Other Current Assets;22936.0;4847.0;4725.0;3546.0;None;
TOTAL CURRENT ASSETS;85525.0;73041.0;73471.0;68393.0;None;
NET PROPERTY PLANT AND EQUIPMENT;1517.0;1410.0;1457.0;1259.0;None;
Goodwill;16741.0;15855.0;15754.0;14819.0;None;
Deferred Tax Assets Long Term;4097.0;3332.0;3060.0;2245.0;None;
Other Intangibles;3648.0;3382.0;3349.0;3159.0;None;
Other Long-Term Assets;156579.0;155313.0;168020.0;183154.0;None;
TOTAL ASSETS;731390.0;727204.0;761862.0;757143.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accrued Expenses;514.0;64.0;102.0;819.0;None;
Short-Term Borrowings;27562.0;32452.0;27220.0;22880.0;None;
Current Income Taxes Payable;1348.0;1194.0;1170.0;972.0;None;
Other Current Liabilities Total;37876.0;15499.0;23246.0;24646.0;None;
TOTAL CURRENT LIABILITIES;149841.0;135511.0;131518.0;139381.0;None;
Long-Term Debt;13301.0;12086.0;11354.0;8999.0;None;
Minority Interest;9025.0;6263.0;6130.0;9940.0;None;
Pension & Other Post-Retirement Benefits;8615.0;8822.0;9727.0;8017.0;None;
Deferred Tax Liability Non-Current;4098.0;3794.0;5175.0;4226.0;None;
Other Non-Current Liabilities;51804.0;53393.0;58151.0;58850.0;None;
TOTAL LIABILITIES;672667.0;674524.0;702126.0;694280.0;None;
Common Stock;5313.0;5398.0;5470.0;5537.0;None;
Additional Paid in Capital;20192.0;20471.0;20749.0;21170.0;None;
Retained Earnings;14336.0;12284.0;13885.0;17309.0;None;
Treasury Stock;-495.0;-385.0;-364.0;-188.0;None;
Comprehensive Income and Other;10352.0;8649.0;13866.0;9095.0;None;
TOTAL COMMON EQUITY;49698.0;46417.0;53606.0;52923.0;None;
TOTAL EQUITY;58723.0;52680.0;59736.0;62863.0;None;
TOTAL LIABILITIES AND EQUITY;731390.0;727204.0;761862.0;757143.0;None;
