Millions of Euros;2010;2011;2012;2013;Trend;
Other Revenues;5570.0;5058.0;5075.0;5223.0;None;
TOTAL REVENUES;120847.0;101758.0;120278.0;124962.0;None;
Cost of Goods Sold;104120.0;85368.0;104545.0;108203.0;None;
GROSS PROFIT;16727.0;16390.0;15733.0;16759.0;None;
Selling General & Admin Expenses Total;10713.0;10038.0;9538.0;9628.0;None;
Other Operating Expenses;22.0;480.0;351.0;234.0;None;
OTHER OPERATING EXPENSES TOTAL;10831.0;10764.0;10023.0;9970.0;None;
OPERATING INCOME;5992.0;5872.0;5844.0;6897.0;None;
Interest Expense;-250.0;-329.0;-568.0;-618.0;None;
Income (Loss) on Equity Investments;85.0;62.0;119.0;131.0;None;
Other Non-Operating Income (Expenses);-235.0;-1.0;-1.0;-1.0;None;
Impairment of Goodwill;-111.0;-1206.0;-128.0;-157.0;None;
Gain (Loss) on Sale of Assets;-1642.0;-38.0;--;--;None;
Other Unusual Items Total;-13.0;29.0;19.0;--;None;
EBT INCLUDING UNUSUAL ITEMS;3826.0;4389.0;5285.0;6252.0;None;
Income Tax Expense;895.0;1011.0;1098.0;1466.0;None;
Minority Interest in Earnings;-342.0;-190.0;-130.0;-304.0;None;
Earnings from Continuing Operations;2931.0;3378.0;4187.0;4786.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;160.0;1002.0;--;--;None;
NET INCOME;2749.0;4190.0;4057.0;4482.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;2449.0;3899.0;3765.0;4198.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;2289.0;2897.0;3765.0;4198.0;None;
