Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;211.5;288.7;458.9;784.8;None;
Short-Term Investments;11.7;14.2;12.4;17.1;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;223.2;302.9;471.3;801.9;None;
Accounts Receivable;569.4;604.4;597.9;631.4;None;
Other Receivables;91.3;86.4;87.2;81.9;None;
TOTAL RECEIVABLES;660.7;690.8;685.1;713.3;None;
Inventory;97.4;94.9;98.8;85.5;None;
Prepaid Expenses;46.8;43.7;48.4;64.3;None;
Other Current Assets;8.8;7.1;7.5;7.2;None;
TOTAL CURRENT ASSETS;1036.9;1139.4;1311.1;1672.2;None;
Gross Property Plant and Equipment;2861.8;3004.7;3115.8;3156.5;None;
Accumulated Depreciation;-1724.1;-1865.3;-2000.0;-2051.4;None;
NET PROPERTY PLANT AND EQUIPMENT;1137.7;1139.4;1115.8;1105.1;None;
Goodwill;1342.6;1377.9;1356.9;1290.2;None;
Long-Term Investments;161.1;183.4;170.8;207.8;None;
Deferred Tax Assets Long Term;15.3;23.6;29.9;26.8;None;
Deferred Charges Long Term;14.8;14.8;17.6;21.4;None;
Other Intangibles;304.1;314.0;284.7;279.6;None;
Other Long-Term Assets;51.4;38.4;37.3;57.5;None;
TOTAL ASSETS;4063.9;4230.9;4324.1;4660.6;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;283.3;505.7;556.0;562.6;None;
Accrued Expenses;170.9;171.6;162.8;185.3;None;
Short-Term Borrowings;22.1;9.7;13.4;12.2;None;
Current Portion of Long-Term Debt/Capital Lease;84.3;71.2;283.0;85.4;None;
Current Portion of Capital Lease Obligations;2.3;2.9;7.5;9.3;None;
Current Income Taxes Payable;28.9;29.5;39.0;31.5;None;
Other Current Liabilities Total;308.0;89.8;76.0;90.4;None;
Unearned Revenue Current;74.7;98.6;91.6;100.3;None;
TOTAL CURRENT LIABILITIES;972.2;976.1;1221.8;1067.7;None;
Long-Term Debt;474.3;370.2;139.8;665.9;None;
Capital Leases;4.3;5.3;6.5;6.4;None;
Minority Interest;-24.7;-24.3;-42.7;-38.8;None;
Deferred Tax Liability Non-Current;106.7;111.8;96.7;90.7;None;
Other Non-Current Liabilities;283.7;297.8;371.0;348.7;None;
TOTAL LIABILITIES;1841.2;1761.2;1835.8;2179.4;None;
Common Stock;3.4;3.4;3.4;3.4;None;
Additional Paid in Capital;1001.6;1010.0;1021.3;1052.3;None;
Retained Earnings;1236.7;1448.1;1519.1;1521.3;None;
Comprehensive Income and Other;5.7;32.5;-12.8;-57.0;None;
TOTAL COMMON EQUITY;2247.4;2494.0;2531.0;2520.0;None;
TOTAL EQUITY;2222.7;2469.7;2488.3;2481.2;None;
TOTAL LIABILITIES AND EQUITY;4063.9;4230.9;4324.1;4660.6;None;
