Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;2350.0;2463.0;2622.8;2676.2;None;
TOTAL REVENUES;2350.0;2463.0;2622.8;2676.2;None;
Cost of Goods Sold;1471.9;1538.7;1656.2;1682.8;None;
GROSS PROFIT;878.1;924.3;966.6;993.4;None;
Selling General & Admin Expenses Total;362.5;380.1;401.5;406.8;None;
Depreciation & Amortization Total;209.2;217.5;238.9;238.8;None;
Other Operating Expenses;5.6;-0.4;2.8;1.0;None;
OTHER OPERATING EXPENSES TOTAL;577.3;597.2;643.2;646.6;None;
OPERATING INCOME;300.8;327.1;323.4;346.8;None;
Interest Expense;-24.2;-29.4;-17.3;-24.4;None;
Interest and Investment Income;8.0;7.3;9.6;10.5;None;
NET INTEREST EXPENSE;-16.2;-22.1;-7.7;-13.9;None;
Income (Loss) on Equity Investments;3.9;14.6;17.8;13.4;None;
Currency Exchange Gains (Loss);2.8;-4.7;-0.9;-2.1;None;
Other Non-Operating Income (Expenses);-21.4;-14.3;-22.3;-12.8;None;
EBT EXCLUDING UNUSUAL ITEMS;269.9;300.6;310.3;331.4;None;
Merger & Restructuring Charges;--;--;-7.8;-5.1;None;
Impairment of Goodwill;-0.5;--;-38.0;-126.8;None;
Gain (Loss) on Sale of Investments;-1.5;15.3;5.8;7.3;None;
Gain (Loss) on Sale of Assets;-5.4;-3.8;-2.0;1.8;None;
Other Unusual Items Total;-14.4;-2.7;-8.4;-4.4;None;
Legal Settlements;--;-4.0;--;0.8;None;
EBT INCLUDING UNUSUAL ITEMS;248.1;309.4;259.9;204.2;None;
Income Tax Expense;78.8;93.7;92.3;101.2;None;
Minority Interest in Earnings;4.0;-3.1;-3.3;-12.5;None;
Earnings from Continuing Operations;169.3;215.7;167.6;103.0;None;
NET INCOME;173.3;212.6;164.3;90.5;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;173.3;212.6;164.3;90.5;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;173.3;212.6;164.3;90.5;None;
