Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;5747.9;7372.4;6337.0;5605.0;None;
Short-Term Investments;782.8;526.2;600.0;553.0;None;
Trading Asset Securities;241.4;--;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;6772.1;7898.6;6937.0;6158.0;None;
Accounts Receivable;5754.2;5937.2;5964.0;5520.0;None;
Other Receivables;3138.2;4355.2;5102.0;5549.0;None;
TOTAL RECEIVABLES;8892.4;10292.4;11066.0;11069.0;None;
Inventory;843.8;1004.1;1016.0;969.0;None;
Other Current Assets;3495.0;4177.6;4540.0;4495.0;None;
TOTAL CURRENT ASSETS;20003.3;23372.7;23559.0;22691.0;None;
Gross Property Plant and Equipment;10834.3;11302.2;12165.0;12160.0;None;
Accumulated Depreciation;-6422.8;-6903.1;-7419.0;-7619.0;None;
NET PROPERTY PLANT AND EQUIPMENT;4411.5;4399.1;4746.0;4541.0;None;
Goodwill;6103.1;6263.8;6609.0;7000.0;None;
Long-Term Investments;1334.0;1236.9;1128.0;1438.0;None;
Loans Receivable Long Term;248.6;204.9;384.0;387.0;None;
Deferred Tax Assets Long Term;144.9;179.1;230.0;248.0;None;
Other Intangibles;24126.5;24296.3;23937.0;26018.0;None;
Other Long-Term Assets;41.3;622.4;952.0;753.0;None;
TOTAL ASSETS;56413.2;60575.2;61545.0;63076.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;6692.2;7625.0;7604.0;7493.0;None;
Accrued Expenses;62.6;55.0;58.0;92.0;None;
Short-Term Borrowings;890.5;1477.8;1534.0;1683.0;None;
Current Portion of Long-Term Debt/Capital Lease;1384.8;1968.0;2106.0;1563.0;None;
Current Portion of Capital Lease Obligations;56.1;59.5;41.0;32.0;None;
Current Income Taxes Payable;183.1;232.6;361.0;176.0;None;
Other Current Liabilities Total;12744.1;14378.5;15298.0;16191.0;None;
TOTAL CURRENT LIABILITIES;21957.3;25736.9;26961.0;27198.0;None;
Long-Term Debt;17596.3;17337.7;16484.0;17498.0;None;
Capital Leases;100.4;87.3;70.0;54.0;None;
Minority Interest;720.6;725.4;730.0;118.0;None;
Pension & Other Post-Retirement Benefits;712.5;750.8;1140.0;1179.0;None;
Deferred Tax Liability Non-Current;2355.1;2166.9;2016.0;1963.0;None;
Other Non-Current Liabilities;667.0;880.3;1107.0;924.0;None;
TOTAL LIABILITIES;43388.6;46959.9;47778.0;48816.0;None;
Common Stock;1381.6;1413.2;1443.0;1504.0;None;
Additional Paid in Capital;6820.6;7182.4;7488.0;8212.0;None;
Retained Earnings;1775.9;1904.3;1917.0;1962.0;None;
Treasury Stock;-552.2;-1097.5;-1662.0;-1795.0;None;
Comprehensive Income and Other;2878.1;3487.5;3851.0;4259.0;None;
TOTAL COMMON EQUITY;12304.0;12889.9;13037.0;14142.0;None;
TOTAL EQUITY;13024.6;13615.3;13767.0;14260.0;None;
TOTAL LIABILITIES AND EQUITY;56413.2;60575.2;61545.0;63076.0;None;
