Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;34002.8;37646.1;39184.0;40741.0;None;
Other Revenues;145.7;151.8;198.0;201.0;None;
TOTAL REVENUES;34148.5;37797.9;39382.0;40942.0;None;
Cost of Goods Sold;29823.5;33182.0;34686.0;36247.0;None;
GROSS PROFIT;4325.0;4615.9;4696.0;4695.0;None;
Selling General & Admin Expenses Total;71.2;101.4;94.0;86.0;None;
Other Operating Expenses;911.6;1009.2;1047.0;1078.0;None;
OTHER OPERATING EXPENSES TOTAL;982.8;1110.6;1141.0;1164.0;None;
OPERATING INCOME;3342.2;3505.3;3555.0;3531.0;None;
Interest Expense;-705.2;-745.3;-768.0;-735.0;None;
Interest and Investment Income;89.2;95.2;89.0;76.0;None;
NET INTEREST EXPENSE;-616.0;-650.1;-679.0;-659.0;None;
Income (Loss) on Equity Investments;68.2;79.7;93.0;122.0;None;
Currency Exchange Gains (Loss);-2.5;-4.6;-6.0;-10.0;None;
Other Non-Operating Income (Expenses);-76.1;-4.6;15.0;17.0;None;
EBT EXCLUDING UNUSUAL ITEMS;2715.8;2925.7;2978.0;3001.0;None;
Impairment of Goodwill;-1.8;-8.0;-8.0;-28.0;None;
Gain (Loss) on Sale of Investments;13.6;37.9;--;--;None;
Gain (Loss) on Sale of Assets;20.4;24.0;25.0;25.0;None;
Other Unusual Items Total;--;--;3.0;118.0;None;
Other Unusual Items;--;--;3.0;118.0;None;
EBT INCLUDING UNUSUAL ITEMS;2748.0;2979.6;2998.0;3116.0;None;
Income Tax Expense;847.4;983.6;972.0;1070.0;None;
Minority Interest in Earnings;-124.7;-91.7;-109.0;-84.0;None;
Earnings from Continuing Operations;1900.6;1996.0;2026.0;2046.0;None;
NET INCOME;1775.9;1904.3;1917.0;1962.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1775.9;1904.3;1917.0;1962.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1775.9;1904.3;1917.0;1962.0;None;
