Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;29.7;46.8;27.8;35.6;None;
Short-Term Investments;--;--;7.1;6.7;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;29.7;46.8;34.9;42.3;None;
Accounts Receivable;82.5;92.5;92.2;107.6;None;
Other Receivables;3.4;3.4;6.5;8.1;None;
TOTAL RECEIVABLES;85.9;95.9;98.7;115.6;None;
Inventory;50.8;66.4;85.1;92.2;None;
Prepaid Expenses;1.4;2.0;--;--;None;
Other Current Assets;8.7;9.1;7.2;8.4;None;
TOTAL CURRENT ASSETS;176.4;220.2;225.8;258.5;None;
Gross Property Plant and Equipment;216.2;247.4;281.1;308.9;None;
Accumulated Depreciation;-103.5;-115.9;-120.8;-133.1;None;
NET PROPERTY PLANT AND EQUIPMENT;112.7;131.6;160.3;175.9;None;
Goodwill;250.3;254.6;288.1;303.0;None;
Long-Term Investments;2.2;2.8;1.2;1.3;None;
Deferred Tax Assets Long Term;11.9;12.4;8.7;9.4;None;
Deferred Charges Long Term;13.3;15.1;16.8;23.7;None;
Other Intangibles;88.7;83.6;91.9;98.8;None;
Other Long-Term Assets;0.9;0.6;1.1;0.6;None;
TOTAL ASSETS;656.3;720.8;793.9;871.2;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;35.0;43.8;40.1;48.1;None;
Accrued Expenses;--;--;23.8;25.2;None;
Current Portion of Long-Term Debt/Capital Lease;40.3;43.0;105.9;28.4;None;
Current Portion of Capital Lease Obligations;--;4.6;1.0;1.3;None;
Current Income Taxes Payable;16.1;19.1;3.8;4.5;None;
Other Current Liabilities Total;42.5;50.3;40.1;33.5;None;
Unearned Revenue Current;11.0;12.2;16.8;14.7;None;
TOTAL CURRENT LIABILITIES;144.9;168.4;230.5;154.4;None;
Long-Term Debt;92.1;83.7;25.5;122.3;None;
Capital Leases;--;20.2;10.1;17.3;None;
Minority Interest;--;1.7;2.7;3.5;None;
Pension & Other Post-Retirement Benefits;19.4;20.8;25.9;25.0;None;
Deferred Tax Liability Non-Current;34.2;29.9;29.5;34.9;None;
Other Non-Current Liabilities;0.6;2.1;37.3;35.6;None;
TOTAL LIABILITIES;291.3;325.2;358.8;389.4;None;
Common Stock;10.4;10.4;10.4;10.4;None;
Retained Earnings;77.6;106.4;148.3;199.0;None;
Comprehensive Income and Other;277.1;277.2;273.6;268.9;None;
TOTAL COMMON EQUITY;365.1;394.0;432.3;478.3;None;
TOTAL EQUITY;365.1;395.6;435.0;481.8;None;
TOTAL LIABILITIES AND EQUITY;656.3;720.8;793.9;871.2;None;
