Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;432.9;477.3;544.0;588.4;None;
TOTAL REVENUES;432.9;477.3;544.0;588.4;None;
Cost of Goods Sold;217.3;238.9;271.1;295.3;None;
GROSS PROFIT;215.7;238.4;272.8;293.1;None;
Selling General & Admin Expenses Total;120.6;127.4;149.3;159.5;None;
R&D Expenses;27.8;28.6;31.7;36.0;None;
Depreciation & Amortization Total;7.1;7.7;--;--;None;
Other Operating Expenses;0.1;-0.5;0.4;-7.0;None;
OTHER OPERATING EXPENSES TOTAL;155.7;163.2;181.4;188.5;None;
OPERATING INCOME;60.0;75.3;91.4;104.7;None;
Interest Expense;-3.3;-4.5;-4.8;-4.0;None;
Interest and Investment Income;0.4;1.0;0.9;0.2;None;
NET INTEREST EXPENSE;-2.9;-3.5;-3.9;-3.9;None;
Currency Exchange Gains (Loss);0.4;2.1;-0.8;-0.4;None;
Other Non-Operating Income (Expenses);-0.1;-2.1;1.0;-2.2;None;
EBT EXCLUDING UNUSUAL ITEMS;57.4;71.7;87.8;98.1;None;
Merger & Restructuring Charges;-3.0;-9.0;-5.9;-3.7;None;
EBT INCLUDING UNUSUAL ITEMS;54.4;62.7;81.9;94.4;None;
Income Tax Expense;15.9;19.5;24.0;27.0;None;
Minority Interest in Earnings;--;-0.1;-1.1;-1.2;None;
Earnings from Continuing Operations;38.5;43.2;57.9;67.5;None;
NET INCOME;38.5;43.1;56.8;66.3;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;38.5;43.1;56.8;66.3;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;38.5;43.1;56.8;66.3;None;
