Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;976.5;1154.3;1159.3;1737.9;None;
Short-Term Investments;162.6;268.7;159.8;65.8;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1139.1;1423.0;1319.1;1803.6;None;
Accounts Receivable;413.4;494.3;457.8;472.6;None;
Other Receivables;36.3;65.0;56.3;54.9;None;
TOTAL RECEIVABLES;449.8;559.4;514.1;527.5;None;
Prepaid Expenses;20.1;27.2;31.0;33.6;None;
Other Current Assets;64.2;47.2;67.2;55.3;None;
TOTAL CURRENT ASSETS;1673.2;2056.7;1931.4;2420.0;None;
Gross Property Plant and Equipment;188.0;238.4;251.2;249.2;None;
Accumulated Depreciation;-121.6;-131.8;-143.4;-148.8;None;
NET PROPERTY PLANT AND EQUIPMENT;66.4;106.6;107.8;100.4;None;
Goodwill;616.6;648.0;788.4;873.0;None;
Long-Term Investments;13.8;4.1;3.0;9.5;None;
Loans Receivable Long Term;12.4;7.6;12.2;11.3;None;
Deferred Tax Assets Long Term;72.8;83.0;78.9;87.5;None;
Other Intangibles;616.7;593.9;671.1;658.8;None;
Other Long-Term Assets;--;16.9;19.5;27.4;None;
TOTAL ASSETS;3071.8;3516.8;3612.4;4187.9;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;93.2;99.8;90.8;85.0;None;
Accrued Expenses;229.4;245.7;273.8;260.1;None;
Current Portion of Long-Term Debt/Capital Lease;26.7;228.9;25.5;20.0;None;
Current Income Taxes Payable;21.8;19.6;34.7;20.8;None;
Other Current Liabilities Total;17.0;52.0;19.0;13.3;None;
Unearned Revenue Current;387.0;492.0;484.7;489.0;None;
TOTAL CURRENT LIABILITIES;775.1;1138.2;928.5;888.2;None;
Long-Term Debt;293.4;72.4;38.3;360.0;None;
Minority Interest;1.0;17.5;16.2;13.6;None;
Pension & Other Post-Retirement Benefits;34.4;37.9;79.5;77.0;None;
Deferred Tax Liability Non-Current;57.2;59.4;76.9;102.7;None;
Other Non-Current Liabilities;119.9;125.4;136.0;135.8;None;
TOTAL LIABILITIES;1280.0;1433.1;1259.3;1563.7;None;
Common Stock;121.3;123.1;125.1;126.9;None;
Additional Paid in Capital;229.9;263.9;314.4;426.0;None;
Retained Earnings;1529.7;1763.1;2029.3;2316.3;None;
Treasury Stock;-7.2;-36.5;-57.4;-105.7;None;
Comprehensive Income and Other;-83.0;-47.3;-74.5;-152.9;None;
TOTAL COMMON EQUITY;1790.8;2066.2;2336.9;2610.5;None;
TOTAL EQUITY;1791.8;2083.7;2353.2;2624.2;None;
TOTAL LIABILITIES AND EQUITY;3071.8;3516.8;3612.4;4187.9;None;
