Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1563.8;1783.0;2028.3;2066.1;None;
TOTAL REVENUES;1563.8;1783.0;2028.3;2066.1;None;
Cost of Goods Sold;221.1;249.5;267.0;261.3;None;
GROSS PROFIT;1342.8;1533.6;1761.3;1804.8;None;
Selling General & Admin Expenses Total;606.0;682.9;795.9;818.5;None;
R&D Expenses;322.1;329.3;368.1;375.5;None;
Depreciation & Amortization Total;71.8;83.6;93.7;100.9;None;
Other Operating Expenses;--;0.4;--;--;None;
OTHER OPERATING EXPENSES TOTAL;1000.0;1096.1;1257.8;1295.0;None;
OPERATING INCOME;342.8;437.4;503.5;509.8;None;
Interest Expense;-8.1;-7.9;-7.8;-3.1;None;
Interest and Investment Income;6.9;13.7;21.1;21.3;None;
NET INTEREST EXPENSE;-1.2;5.8;13.3;18.2;None;
Income (Loss) on Equity Investments;1.8;0.7;--;--;None;
Currency Exchange Gains (Loss);-2.7;-7.9;-2.9;-0.5;None;
Other Non-Operating Income (Expenses);0.1;0.1;0.3;-0.2;None;
EBT EXCLUDING UNUSUAL ITEMS;340.8;436.1;514.2;527.3;None;
Merger & Restructuring Charges;-20.8;-9.5;-10.9;-12.3;None;
Gain (Loss) on Sale of Investments;--;2.4;7.4;0.4;None;
Gain (Loss) on Sale of Assets;--;--;8.3;5.6;None;
EBT INCLUDING UNUSUAL ITEMS;320.0;429.0;519.1;521.0;None;
Income Tax Expense;99.3;138.5;180.2;165.8;None;
Minority Interest in Earnings;-0.2;-1.3;-4.0;-2.9;None;
Earnings from Continuing Operations;220.7;290.5;338.8;355.2;None;
NET INCOME;220.5;289.2;334.8;352.3;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;220.5;289.2;334.8;352.3;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;220.5;289.2;334.8;352.3;None;
