Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;404.0;437.0;436.0;433.0;None;
Short-Term Investments;1149.0;1085.0;999.0;886.0;None;
Trading Asset Securities;--;10.0;35.0;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1553.0;1532.0;1470.0;1319.0;None;
Accounts Receivable;951.0;990.0;1092.0;902.0;None;
Other Receivables;296.0;256.0;267.0;246.0;None;
TOTAL RECEIVABLES;1247.0;1246.0;1359.0;1148.0;None;
Inventory;12.0;11.0;14.0;16.0;None;
Prepaid Expenses;20.0;35.0;34.0;33.0;None;
Restricted Cash;631.0;689.0;709.0;770.0;None;
Other Current Assets;4.0;0.0;3.0;11.0;None;
TOTAL CURRENT ASSETS;3467.0;3513.0;3589.0;3297.0;None;
Gross Property Plant and Equipment;114.0;134.0;173.0;148.0;None;
Accumulated Depreciation;-74.0;-79.0;-86.0;-90.0;None;
NET PROPERTY PLANT AND EQUIPMENT;40.0;55.0;87.0;58.0;None;
Goodwill;551.0;509.0;528.0;574.0;None;
Long-Term Investments;5.0;4.0;10.0;31.0;None;
Deferred Tax Assets Long Term;28.0;39.0;37.0;49.0;None;
Other Intangibles;96.0;101.0;113.0;132.0;None;
TOTAL ASSETS;4187.0;4221.0;4364.0;4141.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;76.0;73.0;62.0;61.0;None;
Accrued Expenses;66.0;78.0;91.0;88.0;None;
Short-Term Borrowings;66.0;35.0;43.0;40.0;None;
Current Portion of Long-Term Debt/Capital Lease;17.0;26.0;28.0;36.0;None;
Current Income Taxes Payable;23.0;-8.0;5.0;17.0;None;
Other Current Liabilities Total;96.0;103.0;104.0;137.0;None;
Unearned Revenue Current;3298.0;3417.0;3622.0;3410.0;None;
TOTAL CURRENT LIABILITIES;3642.0;3724.0;3955.0;3789.0;None;
Long-Term Debt;1499.0;1398.0;1317.0;1529.0;None;
Minority Interest;17.0;20.0;24.0;23.0;None;
Pension & Other Post-Retirement Benefits;18.0;24.0;34.0;28.0;None;
Deferred Tax Liability Non-Current;72.0;86.0;91.0;85.0;None;
TOTAL LIABILITIES;5231.0;5232.0;5397.0;5431.0;None;
Common Stock;452.0;452.0;452.0;452.0;None;
Retained Earnings;-1626.0;-1546.0;-1536.0;-1628.0;None;
Treasury Stock;--;-6.0;-5.0;-47.0;None;
Comprehensive Income and Other;113.0;69.0;32.0;-90.0;None;
TOTAL COMMON EQUITY;-1061.0;-1031.0;-1057.0;-1313.0;None;
TOTAL EQUITY;-1044.0;-1011.0;-1033.0;-1290.0;None;
TOTAL LIABILITIES AND EQUITY;4187.0;4221.0;4364.0;4141.0;None;
