Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;885.0;940.0;976.0;950.0;None;
TOTAL REVENUES;965.0;940.0;976.0;950.0;None;
Cost of Goods Sold;606.0;648.0;666.0;635.0;None;
GROSS PROFIT;359.0;292.0;310.0;315.0;None;
Selling General & Admin Expenses Total;--;--;--;19.0;None;
Depreciation & Amortization Total;29.0;29.0;34.0;33.0;None;
OTHER OPERATING EXPENSES TOTAL;29.0;29.0;34.0;52.0;None;
OPERATING INCOME;330.0;263.0;276.0;263.0;None;
Interest Expense;-25.0;-47.0;-43.0;-43.0;None;
Interest and Investment Income;5.0;100.0;94.0;82.0;None;
NET INTEREST EXPENSE;-20.0;53.0;51.0;39.0;None;
Currency Exchange Gains (Loss);2.0;4.0;4.0;3.0;None;
Other Non-Operating Income (Expenses);-7.0;-5.0;--;-3.0;None;
EBT EXCLUDING UNUSUAL ITEMS;305.0;315.0;331.0;302.0;None;
Merger & Restructuring Charges;-7.0;-5.0;-1.0;-13.0;None;
Impairment of Goodwill;-32.0;-20.0;-6.0;--;None;
Gain (Loss) on Sale of Assets;--;--;-2.0;--;None;
Other Unusual Items Total;-61.0;18.0;-16.0;-15.0;None;
Other Unusual Items;-50.0;22.0;-15.0;-15.0;None;
EBT INCLUDING UNUSUAL ITEMS;205.0;308.0;306.0;274.0;None;
Income Tax Expense;99.0;103.0;103.0;103.0;None;
Minority Interest in Earnings;-9.0;-11.0;-20.0;-11.0;None;
Earnings from Continuing Operations;106.0;205.0;203.0;171.0;None;
NET INCOME;97.0;194.0;183.0;160.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;97.0;194.0;183.0;160.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;97.0;194.0;183.0;160.0;None;
