Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;4829.0;5743.0;5874.0;5459.0;None;
Short-Term Investments;9750.0;10416.0;11217.0;12991.0;None;
Trading Asset Securities;4534.0;4482.0;3167.0;3031.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;19113.0;20641.0;20258.0;21481.0;None;
Accounts Receivable;19524.0;20908.0;22497.0;22137.0;None;
Notes Receivable;1103.0;1168.0;1224.0;1112.0;None;
Other Receivables;9331.0;10147.0;7447.0;8330.0;None;
TOTAL RECEIVABLES;29958.0;32223.0;31168.0;31579.0;None;
Inventory;12685.0;13581.0;14213.0;14550.0;None;
Prepaid Expenses;513.0;621.0;1621.0;1451.0;None;
Other Current Assets;19546.0;1615.0;1066.0;4255.0;None;
TOTAL CURRENT ASSETS;81815.0;68681.0;68326.0;73316.0;None;
Gross Property Plant and Equipment;199645.0;208464.0;222167.0;228935.0;None;
Accumulated Depreciation;-92445.0;-96496.0;-99925.0;-103608.0;None;
NET PROPERTY PLANT AND EQUIPMENT;107200.0;111968.0;122242.0;125327.0;None;
Goodwill;12028.0;11648.0;10412.0;9206.0;None;
Long-Term Investments;23177.0;21487.0;23658.0;23346.0;None;
Loans Receivable Long Term;8418.0;8455.0;12804.0;13744.0;None;
Deferred Tax Assets Long Term;2125.0;3159.0;3421.0;2839.0;None;
Other Intangibles;4616.0;4702.0;7625.0;7976.0;None;
Other Long-Term Assets;1180.0;1862.0;1596.0;1047.0;None;
TOTAL ASSETS;240559.0;231962.0;250084.0;256801.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;12805.0;13681.0;14643.0;14312.0;None;
Accrued Expenses;819.0;940.0;900.0;950.0;None;
Current Portion of Capital Lease Obligations;--;37.0;37.0;39.0;None;
Current Income Taxes Payable;396.0;571.0;1224.0;1348.0;None;
Other Current Liabilities Total;40721.0;28172.0;27548.0;32268.0;None;
TOTAL CURRENT LIABILITIES;62525.0;51409.0;58356.0;60166.0;None;
Long-Term Debt;39993.0;41655.0;45501.0;41621.0;None;
Capital Leases;--;334.0;390.0;404.0;None;
Minority Interest;5586.0;4189.0;4854.0;4663.0;None;
Pension & Other Post-Retirement Benefits;11745.0;14611.0;19119.0;18542.0;None;
Deferred Tax Liability Non-Current;4894.0;4479.0;5601.0;5004.0;None;
Other Non-Current Liabilities;84499.0;86802.0;90006.0;92194.0;None;
TOTAL LIABILITIES;203656.0;199290.0;218973.0;217931.0;None;
Common Stock;924.0;924.0;924.0;930.0;None;
Treasury Stock;-19.0;-26.0;-33.0;-47.0;None;
Comprehensive Income and Other;30412.0;27585.0;25366.0;33324.0;None;
TOTAL COMMON EQUITY;31317.0;28483.0;26257.0;34207.0;None;
TOTAL EQUITY;36903.0;32672.0;31111.0;38870.0;None;
TOTAL LIABILITIES AND EQUITY;240559.0;231962.0;250084.0;256801.0;None;
