Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;65320.0;65307.0;72178.0;75594.0;None;
TOTAL REVENUES;65320.0;65307.0;72178.0;75594.0;None;
Cost of Goods Sold;36758.0;40126.0;46816.0;48710.0;None;
GROSS PROFIT;28562.0;25181.0;25362.0;26884.0;None;
Selling General & Admin Expenses Total;11422.0;10802.0;11710.0;11879.0;None;
Depreciation & Amortization Total;7426.0;6285.0;6849.0;7516.0;None;
Other Operating Expenses;23277.0;20281.0;19635.0;19112.0;None;
OTHER OPERATING EXPENSES TOTAL;23277.0;20281.0;19635.0;19112.0;None;
OPERATING INCOME;8441.0;8546.0;8596.0;9283.0;None;
Interest Expense;-2724.0;-2284.0;-2538.0;-2406.0;None;
Interest and Investment Income;23.0;44.0;38.0;23.0;None;
NET INTEREST EXPENSE;-2701.0;-2240.0;-2500.0;-2383.0;None;
Income (Loss) on Equity Investments;134.0;51.0;261.0;375.0;None;
Currency Exchange Gains (Loss);63.0;-15.0;2.0;-105.0;None;
Other Non-Operating Income (Expenses);-2449.0;-1554.0;-1544.0;-1682.0;None;
Merger & Restructuring Charges;--;--;9.0;-60.0;None;
Impairment of Goodwill;--;--;1023.0;--;None;
Gain (Loss) on Sale of Investments;188.0;124.0;-382.0;1081.0;None;
Gain (Loss) on Sale of Assets;15.0;219.0;373.0;200.0;None;
Other Unusual Items Total;-1743.0;-408.0;-752.0;-1012.0;None;
Other Unusual Items;--;232.0;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;1948.0;4723.0;5086.0;5697.0;None;
Income Tax Expense;1079.0;1336.0;1573.0;1942.0;None;
Minority Interest in Earnings;-235.0;-239.0;-238.0;-238.0;None;
Earnings from Continuing Operations;869.0;3387.0;3513.0;3755.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;386.0;--;--;--;None;
NET INCOME;1020.0;3148.0;3275.0;3517.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1020.0;3148.0;3275.0;3414.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;634.0;3148.0;3275.0;3414.0;None;
